symbol,name,description_original,description_eftcom,description_moringstar,merged_description
SMCF,Themes US Small Cap Cash Flow Champions ETF,"The index is a free-float adjusted, market capitalization weighted index that is designed to provide exposure to small capitalization U.S. companies that have a high cash flow yield. The fund will invest, under normal circumstances, at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in the securities that comprise the index. The fund is non-diversified.","SMCF is a passively managed ETF that tracks an index of small-cap US equities perceived to have high cash flow yield. From a universe of small-cap companies incorporated and listed in the US, the fund considers securities with positive cash flow yields over the last three years. Qualified companies are ranked according to the following years estimated cash flow yield. The fund then selects 75 of the top-ranked companies. The portfolio is weighted based on their free-float market capitalization, which is capped at 5%. The fund seeks to employ a replication strategy, meaning it will invest in all of the component securities in the same proportion as the index. However, the fund may still utilize a representative sampling strategy, when necessary, in which securities are chosen to provide the same investment characteristics as the index. The fund may engage in securities lending, up to one-third of its total assets. The index is rebalanced quarterly.","The investment seeks to track the performance, before fees and expenses, of the Solactive U.S. Small Cap Cash Flow Champions Index. The index is a free-float adjusted, market capitalization weighted index that is designed to provide exposure to small capitalization U.S. companies that have a high cash flow yield. The fund will invest, under normal circumstances, at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in the securities that comprise the index. The fund is non-diversified.","This passively managed ETF seeks to track an index designed to provide exposure to small-capitalization U.S. companies with high cash flow yield. The underlying index targets US small-cap companies that have shown positive cash flow over the last three years, ranking and selecting the top 75 based on the following year's estimated cash flow yield. Index constituents are weighted by their free-float market capitalization, with individual securities capped at 5%. Under normal circumstances, the fund invests at least 80% of its net assets in the securities comprising the index, aiming for a replication strategy but potentially using representative sampling. The fund is considered non-diversified. The index is rebalanced quarterly, and the fund may engage in securities lending up to one-third of its total assets."
DRLL,Strive U.S. Energy ETF,"The index is a subset of a float-adjusted capitalization weighted index of equity securities comprising the 1,000 largest companies from the U.S. stock market. Under normal circumstances, at least 80% of the fund’s total assets (exclusive of collateral held from securities lending) will be invested in U.S. energy companies. It is non-diversified.","DRLL tracks a market cap-weighted index of US-listed stocks in the energy sector. The fund aims to influence companies to prioritize returns through shareholder engagement and proxy voting, without regard to ESG agendas.

DRLL attempts to use the power of shareholder engagement and proxy voting to influence energy companies. The issuer believes there is an opportunity for energy companies to focus on solving global demand for energy and abandon political agendas, specifically ESG-imposed constraints. The fund is passively managed, providing exposure to oil and gas producers in the US equity market. From a starting universe of 1500 US-listed firms, the fund selects companies in the energy industry or sector specifically involved in oil and gas exploration, production, refinement, and marketing, including integrated oil companies. Constituents are free float-adjusted market cap-weighted with single issuers capped at 22.5%, and the aggregate weight of all issuers that individually exceed 4.5% of the portfolio capped at 45%. The index is reconstituted semi-annually and is rebalanced quarterly. Prior to April 11, 2024, the fund tracked the Solactive United States Energy Regulated Capped Index TR.","The investment seeks to track the total return performance, before fees and expenses, of the Bloomberg US Energy Select Index. The fund seeks to track the investment results of the Bloomberg US Energy Select Index, which measures the performance of U.S. oil and gas producers. The index is designed by Bloomberg Index Services Limited and consists of U.S. equity securities. It is non-diversified.","This passively managed ETF seeks to track the total return performance of the Bloomberg US Energy Select Index, which measures the performance of U.S. oil and gas producers. Providing exposure to US-listed energy companies involved in exploration, production, refinement, and marketing, the fund is non-diversified and invests at least 80% of its assets in these U.S. energy companies. It tracks a free float-adjusted market capitalization weighted index, subject to caps on individual holdings and the aggregate weight of larger positions. A distinguishing feature of this ETF is its approach to shareholder engagement and proxy voting, aiming to influence portfolio companies to prioritize financial returns and focus on meeting global energy demand, explicitly without regard to ESG or political agendas."
WLDR,Affinity World Leaders Equity ETF,The fund normally invests at least 80% of its net assets (plus any borrowings for investment purposes) in equity securities included in the index. The index is expected to consist of approximately 150 to 250 stocks of companies located in the U.S. and in at least three countries outside of the U.S. and may invest in up to 20 countries. It will be significantly invested in the securities of international companies in addition to securities of U.S. companies.,"WLDR provides a multi-factor take on developed market equities. The fund starts by selecting the securities that cover the top 85% of the Refinitiv Global Developed Equity Index by market-cap. These securities are divided into two regions (US and international), and scored based on: valuations, analyst expectations (includes earnings quality and improving fundamentals), and stock price momentum. The fund also applies a proprietary ranking system which considers the correlation between score components and subsequent long-term performance. WLDR selects the top 10% of firms within each region, which are then weighted using a proprietary risk-management system. The portfolio aims for sector-neutral exposure relative to the selection universe, with a similar geographic distribution. The index rebalances semi-annually.","The investment seeks to provide investment results that correspond generally, before fees and expenses, to the performance of the Thomson Reuters StarMine Affinity World Leaders Index (the ""index""). The fund normally invests at least 80% of its net assets (plus any borrowings for investment purposes) in equity securities included in the index. The index is expected to consist of approximately 150 to 250 stocks of companies located in the U.S. and in at least three countries outside of the U.S. and may invest in up to 20 countries. It will be significantly invested in the securities of international companies in addition to securities of U.S. companies.","This ETF seeks to provide investment results that correspond generally, before fees and expenses, to the performance of an index representing a multi-factor approach to developed market equities. It normally invests at least 80% of its net assets in equity securities included in this index, targeting approximately 150 to 250 stocks. The index methodology starts with a broad universe of developed market stocks and selects companies based on factors such as valuation, analyst expectations (including earnings quality and fundamentals), and stock price momentum, utilizing a proprietary ranking and weighting system. The portfolio includes significant exposure to both U.S. and international companies from multiple countries (up to 20 total, with at least three non-U.S. countries represented) and aims for sector and geographic exposure similar to its initial selection universe. The index rebalances semi-annually."
BATT,Amplify Lithium & Battery Technology ETF,"The fund will normally invest at least 80% of its net assets in the securities that comprise the index. The index seeks to provide exposure to global companies deriving material revenue associated with the development, production and use of lithium battery technology. It is non-diversified.","BATT tracks a market-cap-weighted index that invests in global advanced battery material companies such as those that mine or produce lithium, cobalt, nickel, manganese, and graphite.

BATT invests in advanced battery materials and technology companies globally. A committee selects the components of the fund from a pool of eligible companies. To qualify for inclusion in the selection pool, companies must generate at least 50% of their revenue from the mining, exploration, production, development, processing, or recycling of lithium, cobalt, nickel, manganese, or graphite. Also, companies that hold 10% or more of the global market share for advanced battery materials and report their primary source of revenue as such are also eligible. Alternatively, companies that derive 90% of their revenue from the development and production of electric vehicles can also be included. Index components are weighted by their market-cap, up to a maximum initial weight of 7%. Industry weight to automobiles and components cannot exceed 20% of the total index weight. Prior to October 12,2020, the fund was actively managed and was named Amplify Advanced Battery Metals and Materials ETF.","The investment seeks investment results that generally correspond to the price and yield of the EQM Lithium & Battery Technology Index. The fund will normally invest at least 80% of its net assets in the securities that comprise the index. The index seeks to provide exposure to global companies deriving material revenue associated with the development, production and use of lithium battery technology. It is non-diversified.","This ETF is designed to provide exposure to global companies involved in the lithium battery technology ecosystem. It seeks investment results corresponding generally to the price and yield of an index focused on advanced battery materials and technology companies worldwide. The fund normally invests at least 80% of its net assets in the securities of this index. The underlying index targets companies deriving material revenue from the development, production, or use of advanced battery technology, including those engaged in the mining, processing, and recycling of materials like lithium, cobalt, nickel, manganese, and graphite, as well as companies involved in electric vehicle development and production. Eligible companies typically meet specific revenue thresholds or hold significant market share in advanced battery materials. Index components are weighted by market capitalization, subject to individual company and industry caps. The fund is non-diversified."
COMT,iShares GSCI Commodity Dynamic Roll Strategy ETF,"The index measures the performance of futures contracts. In seeking to achieve its investment objective, the fund may invest in a combination of exchange-traded commodity futures contracts, exchange-traded options on commodity-related futures contracts and exchange-cleared commodity related swaps (together, “Commodity Linked Investments”), thereby obtaining exposure to the commodities markets.","COMT provides exposure to six broad commodity groups selected from the S&P GSCI. In January of each year, the index selects 14 commodities from the broad groups based on global production levels and the price of the commodity. The fund gains its exposure through commodity-linked investments such as futures, options, and swaps. An algorithm identifies the optimum implied yields for a monthly roll strategy. In terms of commodity exposure, the fund offers some tax simplicity in the form of a 1099. COMT avoids issuing a K-1 by relying on a wholly owned Cayman subsidiary to access commodity derivatives. The funds investment grade fixed income investments are cash management tools focused on the cash or collateral portion of the portfolio with the objective to generate interest income and capital appreciation. Prior to March 1, 2021, the fund name was the iShares Commodities Select Strategy ETF. The fund was previously actively managed while aiming to mimic the underlying index.","The investment seeks to track the investment results of the S&P GSCI Dynamic Roll (USD) Total Return Index composed of a broad range of commodity exposures with enhanced roll selection, on a total return basis. The index measures the performance of futures contracts. In seeking to achieve its investment objective, the fund may invest in a combination of exchange-traded commodity futures contracts, exchange-traded options on commodity-related futures contracts and exchange-cleared commodity related swaps (together, “Commodity-Linked Investments”), thereby obtaining exposure to the commodities markets.","This ETF seeks to track the total return performance of an underlying index that provides broad commodity exposure based on the S&P GSCI. The index measures the performance of futures contracts and selects commodities annually (14 from 6 broad groups) based on global production levels and price. The fund gains this exposure through commodity-linked investments such as exchange-traded futures, options on futures, and swaps. It features an enhanced roll strategy that utilizes an algorithm to optimize monthly rolls based on implied yields. Structured for tax simplicity, the fund aims to issue a 1099 rather than a K-1, achieving this by using a wholly owned Cayman subsidiary to access commodity derivatives. The fund also includes investment grade fixed income investments for cash management."
PBS,Invesco Dynamic Media ETF,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is composed of common stocks of U.S. media companies. These companies are principally engaged in the development, production, sale and distribution of goods or services used in the media industry. The fund is non-diversified.","GGME seeks to track an index of large- to small-cap companies from developed and emerging markets that derive at least 50% of their revenue from subsectors that relate to future media. These component securities are expected to benefit from long-term structural trends driven by technological and societal change, which may have a substantial impact on their performance. Index securities are weighted proportionally to their free-float market capitalization, multiplied by aggregate revenue exposure to the applicable subsectors. Rebalancing is done quarterly starting in March, and reviewed annually in June. Prior to August 28, 2023, the fund was named Invesco Dynamic Media ETF, with ticker PBS, and tracked the Dynamic Media Intellidex Index.",,"This fund seeks to track an index comprising large- to small-cap companies from developed and emerging markets that derive at least 50% of their revenue from future media subsectors. These securities are selected with the expectation of benefiting from long-term structural trends driven by technological and societal change. As a non-diversified fund, it generally invests at least 90% of its total assets in the index securities. Index components are weighted proportionally to their free-float market capitalization multiplied by aggregate revenue exposure to the relevant subsectors and are rebalanced quarterly."
EQL,ALPS Equal Sector Weight ETF,"In order to track the underlying index, the fund will use a fund of funds approach, and seek to achieve its investment objective by investing at least 90% of its total assets in the shares of the Underlying Sector ETFs. The underlying index is an index of ETFs comprised of all active Select Sector SPDR® ETFs in an equal weighted portfolio. It is non-diversified.","EQL tracks an equal-weighted index of all select sector SPDR ETFs.

EQL uses a fund of funds approach in investingit takes all major sectors that make up the S&P 500 index, and then weights each sector equally. The result is a portfolio of large-cap US stocks that underweights the largest sectors in the index, like technology and financials, and overweights the minor sectors, like basic materials and utilities. Proponents claim that the funds countercyclical rebalancing schedule will help it outperform the regular S&P 500 over time. The index is reconstituted and rebalanced on a quarterly basis.","The investment seeks investment results that replicate as closely as possible, before fees and expenses, the performance of the NYSE® Equal Sector Weight Index (the ""underlying index""). In order to track the underlying index, the fund will use a ""fund of funds"" approach, and seek to achieve its investment objective by investing at least 90% of its total assets in the shares of the Underlying Sector ETFs. The underlying index is an index of ETFs comprised of all active Select Sector SPDR® ETFs in an equal weighted portfolio. It is non-diversified.","This ETF seeks to replicate the performance of an equal-weighted index of select sector ETFs, specifically the NYSE Equal Sector Weight Index, by employing a fund of funds approach. It aims to invest at least 90% of its assets in the shares of active Select Sector SPDR ETFs, holding them in an equal-weighted portfolio. This strategy provides exposure to large-cap U.S. stocks across all major S&P 500 sectors, with each sector receiving equal weighting rather than market capitalization weighting. As a result, it typically underweights larger sectors like technology and financials and overweights smaller sectors such as basic materials and utilities. The underlying index is reconstituted and rebalanced quarterly. While classified as non-diversified, proponents suggest this fund's countercyclical rebalancing could potentially lead to outperformance compared to the standard S&P 500."
XRT,SPDR S&P Retail ETF,"The SPDR S&P Retail ETF seeks to provide investment results that, before fees and expenses, correspond generally to the total return performance of the S&P Retail Select Industry Index (the “Index”)Seeks to provide exposure the retail segment of the S&P TMI, which comprises the following sub-industries: Apparel Retail, Automotive Retail, Broadline Retail, Computer & Electronic Retail, Consumer Staples Merchandise Retail, Drug Retail, Food Retailers, and Other Specialty Retail.Seeks to track a modified equal weighted index which provides the potential for unconcentrated industry exposure across large, mid and small cap stocksAllows investors to take strategic or tactical positions at a more targeted level than traditional sector based investing","XRT tracks a broad-based, equal-weighted index of stocks in the US retail industry.

XRT uses equal-weighting rather than market-cap-weighting to make radical differences in exposure and performance than its peers. The effect of equal weighting is keener than some other equal-weighted funds because it draws retail stocks, as defined by GICS, from the broad S&P Total Market Index that include stocks of any capitalization. The result, XRT has an order of magnitude in greater small- and micro-cap exposure. The fund holds retail companies that stretch across multiple sub-industries that include apparel, automotive, computers and electronics, department stores, drugs, food, general merchandise stores, hypermarkets and super centers, internet and direct marketing retail, and specialty stores. The index is rebalanced quarterly.","The investment seeks to provide investment results that, before fees and expenses, correspond generally to the total return performance of an index derived from the retail segment of a U.S. total market composite index. In seeking to track the performance of the S&P Retail Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the retail segment of the S&P Total Market Index (""S&P TMI"").","This ETF seeks to provide investment results that correspond generally to the total return performance of an index representing the retail segment of a U.S. total market composite index. It offers exposure across a broad range of retail sub-industries, including apparel, automotive, broadline, computer & electronic, consumer staples merchandise, drug, food, department stores, hypermarkets and super centers, internet and direct marketing, and other specialty retail. A key characteristic is its modified equal-weighting methodology for index constituents, which differentiates it from market-cap-weighted strategies. This approach, combined with drawing from the total market universe, results in broad exposure across large, mid, and small-cap stocks, providing a notable level of small- and micro-cap representation. The fund typically invests substantially all of its assets in the index securities, employing a sampling strategy. The index is rebalanced quarterly, facilitating targeted investment exposure within the retail sector."
SAEF,Schwab Ariel ESG ETF,"The fund invests primarily in exchange-traded equity securities of U.S. companies that have been evaluated based on certain environmental, social and governance (ESG) criteria. It typically invests in exchange-traded securities of small- and mid-capitalization companies which are companies with capitalizations within the range of the Russell 2500™ Index, as measured at the time of purchase; however, the fund may invest in exchange-traded securities of companies outside the stated range.","SAEF is an actively-managed, non-transparent ETF that holds a portfolio of small- and mid-cap US firms screened for ESG criteria. The fund utilizes the Natixis/NYSE non-transparent model.

SAEF is the first active ETF and first ESG offering from Schwab. The fund uses the proprietary ESG research of its sub-adviser to build a portfolio of small- and mid-cap US stocks. The sub-adviser initially considers company valuation and screens for fundamental characteristics that enable capital appreciation. A proprietary risk-rating based on various ESG criteria is then assigned to each prospective holding. The sub-adviser screens out companies that derive significant revenue from controversial business activities such as those involving tobacco, fossil fuels, private prisons, firearms, and weapons. However, the fund adviser has the discretion to manage a portion of the assets, which may not utilize the sub-advisers ESG risk rating. SAEF only discloses its full holdings quarterly, with a 60-day lag. A tracking basket is published daily on its website, in place of the actual portfolio.","The investment seeks long-term capital appreciation. The fund invests primarily in exchange-traded equity securities of U.S. companies that have been evaluated based on certain environmental, social and governance (ESG) criteria. It typically invests in exchange-traded securities of small- and mid-capitalization companies which are companies with capitalizations within the range of the Russell 2500™ Index, as measured at the time of purchase; however, the fund may invest in exchange-traded securities of companies outside the stated range.","This actively-managed, non-transparent ETF seeks long-term capital appreciation by investing primarily in exchange-traded equity securities of U.S. small- and mid-capitalization companies. While typically investing in companies within the range of the Russell 2500™ Index at the time of purchase, it may invest outside this range. The selection process incorporates proprietary environmental, social, and governance (ESG) research, which includes screening out companies involved in controversial activities, although the adviser retains discretion over a portion of assets. The fund utilizes a specific non-transparent model, disclosing its full portfolio quarterly with a 60-day lag, while providing a daily tracking basket online."
VDIGX,Vanguard Dividend Growth Fund Investor Shares,"The fund invests primarily in stocks that tend to offer current dividends. It focuses on high-quality companies that have prospects for long-term total returns as a result of their ability to grow earnings and their willingness to increase dividends over time. These stocks typically-but not always-will be large-cap, will be undervalued relative to the market, and will show potential for increasing dividends. The fund seeks to be diversified across industry sectors.",,"The investment seeks to provide, primarily, a growing stream of income over time and, secondarily, long-term capital appreciation and current income. The fund invests primarily in stocks that tend to offer current dividends. It focuses on high-quality companies that have prospects for long-term total returns as a result of their ability to grow earnings and their willingness to increase dividends over time. These stocks typically-but not always-will be large-cap, will be undervalued relative to the market, and will show potential for increasing dividends. The fund seeks to be diversified across industry sectors.","This investment vehicle primarily seeks to provide a growing stream of income over time, while secondarily aiming for long-term capital appreciation and current income. It invests primarily in stocks that tend to offer current dividends, focusing on high-quality companies with prospects for long-term total returns due to their ability to grow earnings and willingness to increase dividends over time. These stocks typically, but not always, are large-cap, undervalued relative to the market, and show potential for increasing dividends. The fund seeks to be diversified across industry sectors."
VPOP,Simplify Volt Pop Culture Disruption ETF,"The adviser and sub-adviser seek to achieve the fund's investment objective by investing in U.S. and foreign equity securities and equity securities of companies that are consistent with the fund's investment theme of pop culture disruption. The adviser applies an option overlay strategy to the fund's equity investments. Under normal circumstances, the fund primarily invests in U.S. and foreign equity securities of companies that are engaged in the fund's investment theme. It is non-diversified.",,,"This ETF primarily invests in U.S. and foreign equity securities of companies engaged in the pop culture disruption theme, aiming to achieve its investment objective. It utilizes an option overlay strategy on its equity holdings and is categorized as non-diversified."
SPRX,Spear Alpha ETF,"The fund is an actively-managed exchange-traded fund (“ETF”) that will invest primarily in equity securities, including common stock or American depositary receipts (“ADRs”) of companies that Spear Advisors LLC (the “Adviser”) believes are poised to benefit from breakthrough innovation in industrial technology. The Adviser defines innovations in industrial technology as those technological developments that are transforming or have the potential to transform the industrial sector. It is non-diversified.","SPRXs active strategy aims to invest in companies it believes will benefit from technological advancements in the industrial sector. The fund targets companies in any part of the supply chain, directly or indirectly, related to one of the following themes: environmental focus and decarbonization, manufacturing digitalization, robotics and industrial automation, photonics and additive manufacturing, space exploration, and artificial intelligence. SPRXs adviser uses a combination of top-down analysis, bottom-up research, and an ESG screen before granting eligibility. Those eligible are then screened through a final fundamental research process and selected for inclusion. This process will theoretically produce a portfolio of thematic companies that have the highest conviction for investment as determined by the adviser. Holdings can be modified at any time if there are significant changes to a companys business drivers or valuation.","The investment seeks long-term capital growth. The fund is an actively-managed exchange-traded fund (“ETF”) that will invest primarily in equity securities, including common stock or American depositary receipts (“ADRs”) of companies that Spear Advisors LLC (the “Adviser”) believes are poised to benefit from breakthrough innovation in industrial technology. The Adviser defines “innovation in industrial technology” as those technological developments that are transforming or have the potential to transform the industrial sector. It is non-diversified.","This actively-managed exchange-traded fund seeks long-term capital growth by investing primarily in equity securities, such as common stock and ADRs, of companies believed to benefit from breakthrough innovation in industrial technology. This focus includes technological developments transforming or with the potential to transform the industrial sector, covering themes like environmental focus and decarbonization, manufacturing digitalization, robotics and industrial automation, photonics and additive manufacturing, space exploration, and artificial intelligence. The adviser employs a combination of top-down analysis, bottom-up research, and screening processes, including an ESG screen and fundamental analysis, to select high-conviction companies involved directly or indirectly in the industrial technology supply chain. The fund is non-diversified."
TYA,Simplify Risk Parity Treasury ETF,"The fund is an actively managed ETF that seeks to provide total return that matches or outperforms the performance of the ICE US Treasury 20+ Year Index for a calendar quarter, not for any other period. Under normal circumstances, the fund invests at least 80% of its net assets in futures contracts, call options, and put options on U.S. treasury futures, U.S. government securities, such as bills, notes and bonds issued by the U.S. Treasury or fixed income ETFs that invest in U.S. Treasuries.","TYA seeks to match or outperform a US Treasury 20+ year index for a calendar quarter. The portfolio utilizes futures, call, and put options on US Treasury futures, ETFs, and government securities.

TYA is actively managed, yet aims to either match or outperform an index - the ICE US Treasury 20+ Year Index. The index consists of only USD-denominated, Treasury securities with term to maturity of greater than 20 years. TYA gains its exposure primarily through the use of US Treasury futures, call options, and put options, Treasury ETFs, and other government securities. The fund may also hold cash and cash-like instruments or short-term investment-grade debt securities to collateralize its derivatives investment. TYA seeks to pursue its objective for just a calendar quarter, not for any other period. As such, the fund performs quarterly rebalancing.","The investment seeks to provide total return that matches or outperforms the performance of the ICE U.S. Treasury 20+ Year Index on a calendar quarter basis. The fund is an actively managed ETF that seeks to provide total return that matches or outperforms the performance of the ICE U.S. Treasury 20+ Year Index for a calendar quarter, not for any other period. Under normal circumstances, the fund invests at least 80% of its net assets in futures contracts, call options, and put options on U.S. treasury futures, U.S. government securities, such as bills, notes and bonds issued by the U.S. Treasury or fixed income ETFs that invest in U.S. Treasuries.","This is an actively managed ETF designed to match or outperform the performance of the ICE US Treasury 20+ Year Index, which tracks long-term U.S. Treasury securities with over 20 years to maturity. Notably, this performance objective is sought specifically for a calendar quarter, not over other periods. To achieve this, the fund primarily invests at least 80% of its net assets in a combination of futures, call options, and put options on U.S. Treasury futures, direct U.S. government securities (bills, notes, bonds), and fixed income ETFs holding U.S. Treasuries. It may also hold cash or short-term debt for collateral and undergoes quarterly rebalancing."
ROKT,SPDR S&P Kensho Final Frontiers ETF,"The SPDR S&P Kensho Final Frontiers ETF seeks to provide investment results that, before fees and expenses, correspond generally to the total return performance of the S&P Kensho Final Frontiers Index (the “Index”)Seeks to track an index utilizing artificial intelligence and a quantitative weighting methodology to capture companies whose products and services are driving innovation behind the exploration of the final frontiers, which includes the areas of outer space and the deep seaMay provide an effective way to pursue long-term growth potential by investing in a portfolio of companies involved in the expansion of human understanding and presence in outer space and in the oceans","ROKT tracks a tier-weighted index of US equities associated with space and deep sea exploration.

ROKT focuses on US-listed companies whose products and services are driving innovation behind the exploration of deep space and deep sea. The underlying index is a combination of two sub-indexes, one that follows space travel and exploration, and another that follows the remotely operated or unmanned aerial, underwater, and surface-level drones market. The methodology involves scanning company documents and SEC submissions for search terms to determine inclusion in the index. Selected stocks are deemed either core or non-core depending on whether one of ROKTs themes is a central focus of the company. Holdings are initially weighted equally, with an overweighting factor applied to core stocks. The index is rebalanced semi-annually.","The investment seeks to provide investment results that, before fees and expenses, correspond generally to the total return performance of the S&P Kensho Final Frontiers Index. Under normal market conditions, the fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index is designed to capture companies whose products and services are driving innovation behind the exploration of deep space and deep sea. The fund may invest in equity securities that are not included in the index, cash and cash equivalents or money market instruments. It is non-diversified.","This ETF seeks to track the performance of an index focused on identifying and investing in US-listed companies that are driving innovation in the exploration of the final frontiers: outer space and the deep sea. Utilizing artificial intelligence and natural language processing, the underlying index selects companies involved in themes like space travel and unmanned aerial, underwater, and surface-level vehicles (drones). Companies are tiered as core or non-core based on the centrality of these themes to their business, and the index applies a tier-weighted methodology that overweights core holdings. The portfolio is non-diversified and seeks to provide long-term growth potential by investing in companies expanding human understanding and presence in these challenging environments."
IEME,iShares Evolved U.S. Media and Entertainment ETF,"The fund seeks to achieve its investment objective by investing, under normal circumstances, at least 80% of its net assets in U.S. listed common stock of large-, mid- and small-capitalization media and entertainment companies. It will hold common stock of those companies that fall into the Media and Entertainment Evolved Sector which have economic characteristics that have been historically correlated with companies traditionally defined as media and entertainment companies. The fund is non-diversified.",,,"This ETF primarily invests at least 80% of its net assets in U.S. listed common stocks of companies within the Media and Entertainment Evolved Sector. These holdings encompass large, mid, and small market capitalizations, focusing on companies with economic characteristics historically correlated with the media and entertainment industry. The fund operates as a non-diversified portfolio."
PIZ,Invesco DWA Developed Markets Momentum ETF,"The fund will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is comprised of equity securities of large capitalization companies classified as developed markets, excluding the United States.","PIZ tracks an index of stocks in developed markets outside the U.S. that exhibit high relative strength characteristics.

PIZ searches for outperformance in developed markets outside the US based on a trend-following index from Dorsey Wright. In its attempt to beat the market, the fund favors large cap securities, and those eligible for index inclusion are assigned a relative strength score. Approximately 100 of these securities with the greatest scores will form the Underlying Index. Component weights are also based on relative scores, wherein higher scoring-securities receive larger weights. PIZ is also less volatile than some alpha-seekers. Its liquid basket also allows for straightforward block execution. The Fund and the Index are rebalanced and reconstituted quarterly. Prior to August 28, 2023, the fund traded under the name Invesco DWA Developed Markets Momentum ETF.","The investment seeks to track the investment results (before fees and expenses) of the Dorsey Wright® Developed Markets Technical Leaders Index (the ""underlying index""). The fund will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is comprised of equity securities of large capitalization companies classified as developed markets, excluding the United States.","This ETF follows a technical, trend-following strategy, aiming to track an index composed of equity securities from large capitalization companies in developed markets outside the United States. The index identifies eligible securities based on relative strength characteristics, selecting approximately 100 with the highest scores and weighting components based on these relative scores. The fund invests at least 90% of its assets in the index securities, seeking to replicate its results before fees and expenses. The index and fund holdings are rebalanced and reconstituted quarterly; the ETF features a relatively liquid basket and has been noted as potentially less volatile than some other strategies targeting outperformance."
GENY,Principal Millennial Global Growth ETF,"Under normal circumstances, the fund primarily invests in equity securities, focusing on growth equity securities. Under normal circumstances, it invests at least 40% of its net assets in foreign and emerging market securities. The fund invests in equity securities of different market capitalizations (small, medium, or large). The fund will concentrate its investments (invest more than 25% of its assets) in one or more industries within the consumer discretionary sector and one or more industries within the communication services sector.","The security is being delisted. The last day of trading on an exchange is October 13, 2023. GENY is actively managed and aims to provide exposure to growth companies around the world that are determined to have significant economic exposure to the spending habits of Millennials, which are those born between 1980 and the mid-2000s. The fund manager uses a proprietary quantitative model designed to identify and select equity securities with medium or high Millennial exposure, based on the materiality of the company's exposure to Millennial-related themes and the potential role of Millennials in driving long-term growth. Some segments with the most Millennial exposure are likely to be included but may change as the Millennial generation ages. Stocks may be of any market capitalization. Up to 40% of the funds assets may be in foreign and emerging market securities. The fund is non-diversified and is rebalanced annually. Prior to July 15, 2022, the fund tracked an index with similar exposure.",,"This is an actively managed fund that primarily invests in growth equity securities. It seeks exposure to global companies with significant economic ties to the spending habits of Millennials (born 1980-mid 2000s). The strategy employs a proprietary quantitative model designed to identify securities based on the materiality of their exposure to Millennial-related themes and their potential role in driving long-term growth. The fund can invest in companies of any market capitalization (small, medium, or large) globally, with at least 40% of its net assets in foreign and emerging market securities. It is non-diversified and concentrates its investments, placing over 25% of assets in each of the consumer discretionary and communication services sectors."
IAUF,iShares Gold Strategy ETF,"The underlying index is composed of exchange-traded gold futures contracts and one or more ETPs backed by or linked to physical gold. The fund invests in a combination of exchange-traded gold futures contracts and other exchange-traded or OTC derivatives that correlate to the investment returns of physical gold, based on the notional value of such derivative instruments and ETPs backed by or linked to physical gold, which may include the iShares Gold Trust. It is non-diversified.","The security was delisted. The last day of trading on an exchange is August 12, 2024. IAUF provides exposure to gold with a few twists. The Underlying Index allocates 76% to Bloomberg Gold Tracker Total Return Index (Tracker Index) and 24% to iShares Gold Trust (IAU). The Tracker Index holds a long position on liquid gold futures contracts traded on the CME. To provide maximum liquidity, October gold contract is excluded due to its low trading volume and open interest . The gold futures are held via a Cayman Islands subsidiary. IAUFs structure addresses two of the sticking points associated with gold exposure. First, IAUF shareholders will receive a 1099 form at tax time, similar to other equity positions, not the K-1 typically associated with commodity pools. Second, capital gains in the fund are taxed at the usual rates, not the higher collectibles rate associated with physical gold investments. The Underlying Index and fund are rebalanced quarterly. Prior to March 1, 2021, the fund was actively managed, aiming to maximize correlation with the Underlying Index.",,"This ETF seeks to provide exposure to gold performance through a strategy combining exchange-traded gold futures contracts with exchange-traded products (ETPs) and other derivatives linked to physical gold, tracking an underlying index composed of these instruments. The fund directly invests in a blend of gold futures, related derivatives based on notional value, and physical gold ETPs, operating as a non-diversified vehicle. A key aspect of its structure is the aim to offer tax advantages to shareholders, providing a 1099 tax form instead of the K-1 typical of commodity pools and taxing capital gains at ordinary rates rather than the higher collectibles rate associated with some physical gold investments."
