symbol,name,description,description_yahoo,description_etfcom,description_morningstar
FLYT,Direxion Flight to Safety Strategy ETF,"The fund, under normal circumstances, invests at least 80% of its assets in the securities that comprise the index. The index measures the performance of a volatility-weighted basket of gold, U.S. listed large-capitalization utility stocks, and U.S. treasury bonds with remaining maturities of greater than 20 years. It is non-diversified.","The fund, under normal circumstances, invests at least 80% of its assets in the securities that comprise the index. The index measures the performance of a volatility-weighted basket of gold, U.S. listed large-capitalization utility stocks, and U.S. treasury bonds with remaining maturities of greater than 20 years. It is non-diversified.",,
SEA,U.S. Global Sea to Sky Cargo ETF,"The index is composed of the exchange-listed common stock (or depositary receipts) of marine shipping, air freight and courier, and port and harbor operating companies of any size across the globe in developed or emerging markets. Under normal circumstances, the fund will invest at least 80% of its net assets (plus borrowings for investment purposes) in Cargo Companies. It is non-diversified.","The index is composed of the exchange-listed common stock (or depositary receipts) of marine shipping, air freight and courier, and port and harbor operating companies of any size across the globe in developed or emerging markets. Under normal circumstances, the fund will invest at least 80% of its net assets (plus borrowings for investment purposes) in Cargo Companies. It is non-diversified.","SEA tracks an index of water and air cargo companies from around the world. Stocks are weighted in fixed tiers, taking into consideration composite scores based on fundamental factors.

SEA is passively managed to track an index of sea and sky cargo companies from around the world, including emerging markets. The fund utilizes a tiered weighting scheme that combines fundamental factors that tilts more towards sea cargo (marine shipping and port/harbor companies) over sky (freight/courier companies). Sea cargo stocks comprise 70% of the portfolio, while sky cargo stocks make up 30%. Stocks selected are assigned composite scores that are based on rankings derived from fundamental factors. Sea cargo companies are weighted in three tiers based on composite scores and market size. The top sea cargo stocks are allocated percentages: 5% for the top six, 4% for the next seven, and 2% for the next six. Each of the 10 top-ranked sky cargo stocks get 2% of weighting allocation. The index is reconstituted and rebalanced quarterly.","The investment seeks to track the performance, before fees and expenses, of the U.S. Global Sea to Sky Cargo Index. The index is composed of the exchange-listed common stock (or depositary receipts) of marine shipping, air freight and courier, and port and harbor operating companies of any size across the globe in developed or emerging markets. Under normal circumstances, the fund will invest at least 80% of its net assets (plus borrowings for investment purposes) in Cargo Companies. It is non-diversified."
EFAS,Global X MSCI SuperDividend EAFE ETF,"The fund invests at least 80% of its total assets in the securities of the underlying index. The underlying index tracks the performance of 50 equally-weighted companies that rank among the highest dividend yielding equity securities in Europe, Australasia and the Far East, as defined by MSCI, the provider of the underlying index (""index provider"").","The fund invests at least 80% of its total assets in the securities of the underlying index. The underlying index tracks the performance of 50 equally-weighted companies that rank among the highest dividend yielding equity securities in Europe, Australasia and the Far East, as defined by MSCI, the provider of the underlying index (""index provider"").","EFAS tracks an index of stocks from developed countries outside North America. After screening for dividend growth and sustainability, the 50 highest yielding stocks are selected and given equal weight.

EFAS hunts in the developed international space for a small number of high-yield stocks, which receive equal weights in the portfolio. Holdings must pass screens for dividend consistency (0% growth or greater, year over year) and sustainability (12-month price return thats not in the bottom 5% of the parent universe). In addition, all holdings must have a trailing yield of at least 5%. EFAS index places loose restrictions on sector and country exposure, but otherwise doesnt aim for a market-like portfolio. The index is rebalanced annually.","The investment seeks to provide investment results that correspond generally to the price and yield performance, before fees and expenses, of the MSCI EAFE Top 50 Dividend Index (""underlying index""). The fund invests at least 80% of its total assets in the securities of the underlying index. The underlying index tracks the performance of 50 equally-weighted companies that rank among the highest dividend yielding equity securities in Europe, Australasia and the Far East, as defined by MSCI, the provider of the underlying index (""index provider"")."
VHT,Vanguard Health Care Index Fund,"The fund employs an indexing investment approach designed to track the performance of the MSCI US Investable Market Index (IMI)/Health Care 25/50, an index made up of stocks of large, mid-size, and small U.S. companies within the health care sector, as classified under the Global Industry Classification Standard (GICS). The Advisor attempts to replicate the target index by seeking to invest all, or substantially all, of its assets in the stocks that make up the index, in order to hold each stock in approximately the same proportion as its weighting in the index. The fund is non-diversified.","The fund employs an indexing investment approach designed to track the performance of the index, an index made up of stocks of large, mid-size, and small U.S. companies within the health care sector, as classified under the GICS. The Advisor attempts to replicate the target index by seeking to invest all, or substantially all, of its assets in the stocks that make up the index, in order to hold each stock in approximately the same proportion as its weighting in the index.","The fund tracks a market-cap-weighted index of US healthcare stocks.

The fund offers broad exposure to healthcare companies in the US. It holds firms that stretch across multiple industries from the broadly defined healthcare space. This includes healthcare provider and services companies, healthcare equipment and supplies manufacturers and distributors, healthcare technology firms, and companies involved in the research, development, production, and marketing of pharmaceuticals and biotech products. The funds large basket stems from its total market universe. Holdings are weighted by market capitalization and are diversified by applying limits on regulated investment companies, such that no group entity exceeds 25% of the index weight and the aggregate weight of issuers with over 5% weight in the index are capped at 50% of the portfolio. The index is rebalanced quarterly.","The investment seeks to track the performance of the MSCI US Investable Market Index (IMI)/Health Care 25/50. The fund employs an indexing investment approach designed to track the performance of the index, an index made up of stocks of large, mid-size, and small U.S. companies within the health care sector, as classified under the GICS. The Advisor attempts to replicate the target index by seeking to invest all, or substantially all, of its assets in the stocks that make up the index, in order to hold each stock in approximately the same proportion as its weighting in the index."
BOAT,SonicShares Global Shipping ETF,"The index is a rules-based index that seeks to provide exposure to a global portfolio of companies identified as being engaged in the water transportation industry. Under normal circumstances, at least 80% of the fund’s net assets, plus borrowings for investment purposes, will be invested in Global Shipping Companies. It also may invest in securities or other investments not included in the index, but which the fund’s investment adviser believes will help it track the index. The fund is non-diversified.","The index is a rules-based index that seeks to provide exposure to a global portfolio of companies identified as being engaged in the water transportation industry. Under normal circumstances, at least 80% of the fund’s net assets, plus borrowings for investment purposes, will be invested in Global Shipping Companies. It also may invest in securities or other investments not included in the index, but which the fund’s investment adviser believes will help it track the index. The fund is non-diversified.","BOAT tracks a modified market-cap-weighted index of globally-listed companies engaged in maritime shipping.

BOAT is passively managed to provide pure-play exposure to the water transportation industry. The index looks for globally-listed companies that derive significant revenue from cargo shipping, dry-bulk shipping, and oil and natural gas transport. Eligible companies must meet minimum investability and liquidity requirements including a minimum market capitalization of $250 million. The resulting portfolio is ranked by market-cap, with the top eight stocks allocated 5% portfolio weight each. Remaining securities are weighted by market-cap, subject to a 4% single security cap and a liquidity cap. The index is rebalanced semi-annually.","The investment seeks to track the performance, before fees and expenses, of the Solactive Global Shipping Index. The index is a rules-based index that seeks to provide exposure to a global portfolio of companies identified as being engaged in the water transportation industry. Under normal circumstances, at least 80% of the fund’s net assets, plus borrowings for investment purposes, will be invested in Global Shipping Companies. It also may invest in securities or other investments not included in the index, but which the fund’s investment adviser believes will help it track the index. The fund is non-diversified."
UTES,Virtus Reaves Utilities ETF,"The fund invests not less than 80% of its net assets (plus the amount of any borrowings for investment purposes) in equity securities of companies in the Utility Sector (""Utility Sector Companies""). The manager considers a company to be a ""Utility Sector Company"" if at least 50% of the company's assets or customers are committed to, or at least 50% of the company's revenues, gross income or profits derive from, the provision of products, services or equipment for the generation or distribution of electricity, gas or water. The fund is non-diversified.","The fund invests not less than 80% of its net assets (plus the amount of any borrowings for investment purposes) in equity securities of companies in the Utility Sector (""Utility Sector Companies""). The manager considers a company to be a ""Utility Sector Company"" if at least 50% of the company's assets or customers are committed to, or at least 50% of the company's revenues, gross income or profits derive from, the provision of products, services or equipment for the generation or distribution of electricity, gas or water. The fund is non-diversified.","UTES is an actively managed ETF that holds US utility stocks. UTES' managers aim to outperform the sector by selecting and weighting stocks based on fundamental, growth and risk metrics.

UTES offers active exposure to utility stocks. Active exposure is rare among sector funds, especially with respect to utilities. The managers use fundamental, growth, and risk-based metrics looking to outperform the broader sector from a total return perspective. Examples of the metrics include capital structure, historical earnings growth and share price volatility. Dividends are a factor too, but the fund does not appear to be yield-focused despite its dividend-heavy sector. Reaves Asset Management manages the portfolio day to day in addition to this ETF, the firm runs utilities-oriented mutual funds and SMAs.","The investment seeks to provide total return through a combination of capital appreciation and income. The fund invests not less than 80% of its net assets (plus the amount of any borrowings for investment purposes) in equity securities of companies in the Utility Sector (""Utility Sector Companies""). The manager considers a company to be a ""Utility Sector Company"" if at least 50% of the company's assets or customers are committed to, or at least 50% of the company's revenues, gross income or profits derive from, the provision of products, services or equipment for the generation or distribution of electricity, gas or water. The fund is non-diversified."
IBRN,iShares Neuroscience and Healthcare ETF,"The fund will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents as well as in securities not included in the index, but which BFA believes will help the fund track the index. It is non-diversified.","The fund will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents as well as in securities not included in the index, but which BFA believes will help the fund track the index. It is non-diversified.","IBRN tracks a market cap-weighted index that provides global equity exposure to companies that are positioned to benefit from neuroscience advancements. The index may hold securities from large- to small-cap.

IBRN is the first ETF to have a global pure-play bet on neurosciences that specifically focuses on research, development, or manufacturing of neurology biopharmaceuticals or neurological devices. These are typically associated with the treatment of neurological disorders. The index includes companies in the sub-industries classified as either/or Neurology Biopharmaceuticals and Neurology Devices by the FactSet RBICS. Eligible companies must have 50% of their annual revenues or, for pre-revenue companies, their primary business must be under listed sub-industries. Companies whose business description, trade names, or supply chain relationships indicate involvement with psychedelics or cannabis, based on an analysis using FactSet keyword data, are explicitly excluded. Eligible equities include large- to small-cap companies that meet liquidity and tradability criteria. The market cap-weighted index is reviewed and reconstituted semi-annually starting March and rebalanced quarterly.","The investment seeks to track the NYSE FactSet Global Neuro Biopharma and MedTech Index composed of U.S. and non-U.S. companies that could benefit from the growth and innovation in neuroscience. The fund will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents as well as in securities not included in the index, but which BFA believes will help the fund track the index. It is non-diversified."
FRI,First Trust S&P REIT Index Fund,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the real estate investment trusts (""REITs"") that comprise the index. The index seeks to measure the performance of publicly-traded REITs domiciled in the United States that meet certain eligibility requirements.",The fund will normally invest at least 90% of its net assets (including investment borrowings) in the securities that comprise the index. The index seeks to measure the performance of publicly-traded REITs domiciled in the United States that meet certain eligibility requirements.,"FRI tracks a market-cap-weighted index of US companies involved in the ownership and operation of real estate

FRI captures the US real estate market from top to bottom by holding a large basket of securities that traverse the market-cap range. The fund holds Real Estate Investment Trusts (REITs), stretching across multiple sub-sectors from the broad space. The fund's defining trait is its diversity: Its holdings cut across all sectors and market-caps. Reasonably marketlike, the ETF roughly captures commercial and residential REITs. It also includes specialized REITs such as hotels and hospitals, but excludes timber, mortgage, and mortgage-backed REITs. The index is reviewed annually but with quarterly IPO additions.",The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the S&P United States REIT Index. The fund will normally invest at least 90% of its net assets (including investment borrowings) in the securities that comprise the index. The index seeks to measure the performance of publicly-traded REITs domiciled in the United States that meet certain eligibility requirements.
GDXJ,VanEck Junior Gold Miners ETF,The fund normally invests at least 80% of its total assets in securities that comprise the index. The index includes companies that generate at least 50% of their revenues from gold and/or silver mining/royalties/streaming or have mining projects with the potential to generate at least 50% of their revenues from gold and/or silver when developed. It is non-diversified.,The fund normally invests at least 80% of its total assets in securities that comprise the index. The index includes companies that generate at least 50% of their revenues from gold and/or silver mining/royalties/streaming or have mining projects with the potential to generate at least 50% of their revenues from gold and/or silver when developed. It is non-diversified.,"GDXJ tracks a market-cap-weighted index of global gold- and silver-mining firms, focusing on small caps.

GDXJ is closely related to GDX, in name, exposure and history. The index covers global precious-metals-mining firms that generate at least 50% of their revenues from gold and silver. Junior gold miners are selected by market cap. It may include small- and midcap companies whose revenues are expected to grow as they further develop. To ensure diversification, single stocks are capped at 8%. Constituents are reviewed on a quarterly basis, where a sector-weighting cap factor is employed to ensure that 80% are determined as gold stocks, and silver stocks are limited to not go above 20%. The underlying index methodology has changed over time. In June of 2017, the index rules were modified, expanding exposure, to include larger companies.","The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the MVIS® Global Junior Gold Miners Index. The fund normally invests at least 80% of its total assets in securities that comprise the index. The index includes companies that generate at least 50% of their revenues from gold and/or silver mining/royalties/streaming or have mining projects with the potential to generate at least 50% of their revenues from gold and/or silver when developed. It is non-diversified."
FXG,First Trust Consumer Staples AlphaDEX Fund,The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks that comprise the index. The index is a modified equal-dollar weighted index to objectively identify and select stocks from the Russell 1000® Index in the consumer staples sector that may generate positive alpha relative to traditional passive-style indices through the use of the AlphaDEX® selection methodology. The fund is non-diversified.,The fund will normally invest at least 90% of its net assets (including investment borrowings) in the securities that comprise the index. The index is a modified equal-dollar weighted index to objectively identify and select stocks from the Russell 1000® Index in the consumer staples sector that may generate positive alpha relative to traditional passive-style indices through the use of the AlphaDEX® selection methodology.,"FXG tracks an index of large- and mid-cap US consumer staples stocks. The underlying index uses multi-factor selection and tiered equal-weighting.

FXG aims to pick winners in the US consumer staples sector, instead of going for market-like exposure. Its quant-based model weeds out underperforming stocks in the Russell 1000 using value and growth screeners. The chosen stocks are then weighted using a tiered equal-weighting scheme. FXGs resulting basket can show some significant cap-tilts and sector biases. The index is reconstituted and rebalanced on a quarterly basis.",The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the StrataQuant® Consumer Staples Index. The fund will normally invest at least 90% of its net assets (including investment borrowings) in the securities that comprise the index. The index is a modified equal-dollar weighted index to objectively identify and select stocks from the Russell 1000® Index in the consumer staples sector that may generate positive alpha relative to traditional passive-style indices through the use of the AlphaDEX® selection methodology.
RSPT,Invesco S&P 500 Equal Weight Technology ETF,"The fund generally will invest at least 90% of its total assets in securities that comprise the underlying index. The underlying index is composed of all of the components of the S&P 500® Information Technology Index, an index that contains the common stocks of all companies included in the S&P 500® Index that are classified as members of the information technology services sector, as defined according to the Global Industry Classification Standard (GICS).","The fund generally will invest at least 90% of its total assets in securities that comprise the underlying index. The underlying index is composed of all of the components of the S&P 500® Information Technology Index, an index that contains the common stocks of all companies included in the S&P 500® Index that are classified as members of the information technology services sector, as defined according to the Global Industry Classification Standard (""GICS"").",,"The investment seeks to track the investment results (before fees and expenses) of the S&P 500® Equal Weight Information Technology Index (the ""underlying index""). The fund generally will invest at least 90% of its total assets in securities that comprise the underlying index. The underlying index is composed of all of the components of the S&P 500® Information Technology Index, an index that contains the common stocks of all companies included in the S&P 500® Index that are classified as members of the information technology services sector, as defined according to the Global Industry Classification Standard (""GICS"")."
GDMN,WisdomTree Efficient Gold Plus Gold Miners Strategy Fund,"The fund invests, either directly or through a wholly-owned subsidiary, in a portfolio comprised of (i) U.S.-listed gold futures contracts and (ii) global equity securities issued by companies that derive at least 50% of their revenue from the gold mining business. The fund will invest in a representative basket of global equity securities issued by Gold Miners generally weighted by market capitalization. The fund may invest in U.S. Treasury securities and other liquid short-term investments as collateral for its U.S.-listed gold futures contracts. The fund is non-diversified.","The fund invests, either directly or through a wholly-owned subsidiary, in a portfolio comprised of (i) U.S.-listed gold futures contracts and (ii) global equity securities issued by companies that derive at least 50% of their revenue from the gold mining business. The fund will invest in a representative basket of global equity securities issued by Gold Miners generally weighted by market capitalization. The fund may invest in U.S. Treasury securities and other liquid short-term investments as collateral for its U.S.-listed gold futures contracts. The fund is non-diversified.","GDMN is an actively-managed fund that provides concentrated exposure to gold in both equity and commodity forms. The fund invests in gold mining companies globally and US-listed gold futures.

GDMN aims for capital efficiency in providing gold exposure by creating a portfolio of global Gold Miners stocks, while using US-listed gold futures. To be included in the portfolio, Gold Miners must derive at least 50% of their revenue from the gold mining business and must be listed on an eligible global stock exchange. This basket of Gold Miner stocks is modified-market-cap weighted. GDMN aims to hold approximately equal exposure to gold futures and gold equities. The futures contracts are held via a Cayman Islands subsidiary, limited at 25% of the fund. A common structure in the commodity space that allows investors to avoid the complex tax rules that apply to commodity pools. The fund may also hold US Treasurys and other liquid short-term investments as collateral for its gold futures contracts.","The investment seeks total return. The fund invests, either directly or through a wholly-owned subsidiary, in a portfolio comprised of (i) U.S.-listed gold futures contracts and (ii) global equity securities issued by companies that derive at least 50% of their revenue from the gold mining business. The fund will invest in a representative basket of global equity securities issued by Gold Miners generally weighted by market capitalization. The fund may invest in U.S. Treasury securities and other liquid short-term investments as collateral for its U.S.-listed gold futures contracts. The fund is non-diversified."
NACP,Impact Shares NAACP Minority Empowerment ETF,"The fund will, under normal circumstances, invest at least 80% of its total assets, plus borrowings for investment purposes (the ""80% basket"") in component securities of the underlying index (""Component Securities""). The underlying index is designed to measure the performance of large and mid- capitalization companies that are ""empowering to minorities,"" and to exhibit risk and return characteristics similar to those of the Morningstar US Large-Mid Cap ® Index. The fund is non-diversified.","The fund will, under normal circumstances, invest at least 80% of its total assets, plus borrowings for investment purposes (the ""80% basket"") in component securities of the underlying index (""Component Securities""). The underlying index is designed to measure the performance of large and mid- capitalization companies that are ""empowering to minorities,"" and to exhibit risk and return characteristics similar to those of the Morningstar U.S. Large-Mid Cap ® Index.","NACP is the first product offering from Impact Shares and the first ETF to support the promotion of racial equality. The portfolio construction process starts by scoring eligible large- and mid-cap stocks for minority empowerment criteria. Defined by the NAACP, the scoring criteria include: board diversity, anti-discrimination policies, supply chain/contractors social programs, programs to provide equal access to digital information, diversity programs, community development efforts, and health and safety programs. The final portfolio is selected and weighted by an optimizer to maximize exposure to the highest scoring companies while keeping risk and return characteristics in line with the starting universe. The index is reconstituted annually and rebalanced quarterly.","The investment seeks investment results that, before fees and expenses, track the performance of the Morningstar ®Minority Empowerment Index (the underlying index). The fund will, under normal circumstances, invest at least 80% of its total assets, plus borrowings for investment purposes (the ""80% basket"") in component securities of the underlying index (""Component Securities""). The underlying index is designed to measure the performance of large and mid- capitalization companies that are ""empowering to minorities,"" and to exhibit risk and return characteristics similar to those of the Morningstar U.S. Large-Mid Cap ® Index."
EMOT,First Trust S&P 500 Economic Moat ETF,"Under normal conditions, the fund will invest at least 80% of its net assets in the securities that comprise the index. The index is designed to measure the performance of common stock of companies in the S&P 500® Index which are identified as having sustainable competitive advantages, or “an economic moat,” as evidenced by their sustained high gross margins, sustained high return on invested capital and high market share. The fund is non-diversified.","Under normal conditions, the fund will invest at least 80% of its net assets in the securities that comprise the index. The index is designed to measure the performance of common stock of companies in the S&P 500® Index which are identified as having sustainable competitive advantages, or “an economic moat,” as evidenced by their sustained high gross margins, sustained high return on invested capital and high market share. The fund is non-diversified.","EMOT aims to track an equal-weighted index comprised of S&P 500 stocks with sustainable competitive advantages, determined by metrics such as gross margins, ROIC, and market share.

EMOT aims to achieve the returns of an index primarily comprised of common stocks of S&P 500 companies that demonstrate sustainable competitive advantages, excluding those in the real estate sector. The selection process begins with all eligible S&P 500 stocks and evaluates them using metrics such as gross margin (focused on consistency over five years), the five-year average Return on Invested Capital (ROIC), and market share score to assign an Economic Moat score. This score is based on combined z-scores. The top 50 securities with the Highest Economic Moat scores are then chosen and equally weighted in the Index. The Index undergoes Semi-annual reconstitution and rebalancing, and EMOT adjusts its portfolio accordingly.","The investment seeks investment results that correspond generally to the price and yield (before the fund’s fees and expenses) of an equity index called the S&P 500 Economic Moat Index. Under normal conditions, the fund will invest at least 80% of its net assets in the securities that comprise the index. The index is designed to measure the performance of common stock of companies in the S&P 500® Index which are identified as having sustainable competitive advantages, or “an economic moat,” as evidenced by their sustained high gross margins, sustained high return on invested capital and high market share. The fund is non-diversified."
UTSL,Direxion Daily Utilities Bull 3X Shares,"The fund invests at least 80% of its net assets (plus borrowing for investment purposes) in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index includes domestic companies from the utilities sector which includes the following industries: electric utilities; multi-utilities; water utilities and etc. The fund is non-diversified.","The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and exchange-traded funds (""ETFs"") that track the index, that, in combination, provide 3X daily leveraged exposure to the index, consistent with the fund's investment objective. The index includes domestic companies from the utilities sector which includes the following industries: electric utilities; multi-utilities; water utilities and etc. The fund is non-diversified.","UTSL provides daily 3x exposure to a market-cap-weighted index of utility companies in the US.

UTSL is a leveraged product that resets daily. As such, this is not a buy-and-hold ETF, it is best used for short-term tactical trading. Returns can vary significantly from 3x exposure to its underlying index if shares of UTSL are held longer than a day. The funds underlying index, which is an S&P Select Sector Index, includes electric utilities, multi-utilities, water utilities, independent power producers, energy trades and gas utilities. The index is rebalanced quarterly.","The investment seeks daily investment results, before fees and expenses, of 300% of the daily performance of the Utilities Select Sector Index. The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and exchange-traded funds (""ETFs"") that track the index, that, in combination, provide 3X daily leveraged exposure to the index, consistent with the fund's investment objective. The index includes domestic companies from the utilities sector which includes the following industries: electric utilities; multi-utilities; water utilities and etc. The fund is non-diversified."
CPII,Ionic Inflation Protection ETF,"The fund is an actively-managed exchange-traded fund (“ETF”) that seeks to achieve its investment objective by investing in: inflation swaps; options on U.S. interest rates (“swaptions”); and U.S. Treasury Securities, including U.S. Treasury Inflation-Protected Securities (“TIPS”). Under normal market conditions, the fund will invest up to 30% of its net assets in inflation swaps and swaptions to seek to achieve the fund’s investment objective. It is non-diversified.","The fund is an actively-managed exchange-traded fund (“ETF”) that seeks to achieve its investment objective by investing in: inflation swaps; options on U.S. interest rates (“swaptions”); and U.S. Treasury Securities, including U.S. Treasury Inflation-Protected Securities (“TIPS”). Under normal market conditions, the fund will invest up to 30% of its net assets in inflation swaps and swaptions to seek to achieve the fund’s investment objective. It is non-diversified.","CPII seeks to generate positive returns during periods of rising inflationary environments, including increasing long-term interest rates and fixed income volatility. The fund primarily invests up to 30% of its net assets in five-year zero coupon inflation swaps that reference the US Consumer Price Index. The fund also invests in swaptions, which are options tied to the level of US interest rates. To hedge this swaption exposure, the fund enters into interest rate swaps that exchange fixed-rate payments for floating rate payments with interest paid at fixed intervals or only on the expiration date. The fund obtains exposure to inflation swaps indirectly by investing up to 25% of its assets in a wholly-owned Cayman Islands subsidiary. Unlike the fund, the Subsidiary does not seek to qualify as a regulated investment company. Remaining assets will be invested in TIPS of any maturity, either directly or indirectly by holding other ETFs that primarily invest in TIPS.","The investment seeks capital appreciation in elevated and rising inflationary environments. The fund is an actively-managed exchange-traded fund (“ETF”) that seeks to achieve its investment objective by investing in: inflation swaps; options on U.S. interest rates (“swaptions”); and U.S. Treasury Securities, including U.S. Treasury Inflation-Protected Securities (“TIPS”). Under normal market conditions, the fund will invest up to 30% of its net assets in inflation swaps and swaptions to seek to achieve the fund’s investment objective. It is non-diversified."
CNCR,Loncar Cancer Immunotherapy ETF,"The index is composed of the common stock of approximately 30 pharmaceutical or biotechnology companies identified by the fund's index provider, as having a high strategic focus on the development of drugs that harness the body's own immune system to fight cancer. The adviser attempts to invest all, or substantially all, of its assets in the component securities and ADRs that make up the index. At least 80% of its total assets will be invested in the component securities of the index. The fund is non-diversified.","The index was established in 2023 by Range Fund Holdings and tracks the performance of a portfolio of U.S. exchange-listed pharmaceutical or biotechnology stocks or American Depositary Receipts (“ADRs”) with a market capitalization of more than $250 million. The advisor attempts to invest all, or substantially all, of its assets in the component securities that make up the index. Under normal circumstances, at least 80% of the fund’s total assets will be invested in the component securities of the index.","CNCR takes an approach to niche coverage within the healthcare sector. It provides equal-weighted exposure to companies that generate their revenue from oncology products or are in constant development and production of cancer therapeutic medicine. Cancer Therapeutics is a term used to refer to the wide range of treatments and interventions used to treat various kinds of cancer. Equal weighting of the securities draws attention to smaller companies with room to grow. This fund provides a unique option for investors placing a highly specialized bet on this space. Prior to June 20, 2023, the fund tracked the Loncar Cancer Immunotherapy Index and traded under the name Loncar Cancer Immunotherapy ETF. Effective October 20, 2023, the Loncar China BioPharma ETF that traded under the symbol CHNA merged into CNCR, acquiring its assets and expanding the funds exposure to China. Before June 3, 2024, the fund's index name swapped Cancer for Oncology, keeping the strategy unchanged.","The investment seeks to track the performance, before fees and expenses, of the Range Oncology Therapeutics Index. The index was established in 2023 by Range Fund Holdings and tracks the performance of a portfolio of U.S. exchange-listed pharmaceutical or biotechnology stocks or American Depositary Receipts (“ADRs”) with a market capitalization of more than $250 million. The advisor attempts to invest all, or substantially all, of its assets in the component securities that make up the index. Under normal circumstances, at least 80% of the fund’s total assets will be invested in the component securities of the index."
NXTI,Simplify Next Intangible Core Index ETF,The fund seeks to achieve its investment objective by investing at least 80% of its net assets (plus any borrowings for investment purposes) in securities included in the index. The index is designed to measure the performance of U.S. stocks of companies that exhibit relatively high intangible capital-to-book assets ratios within their respective sector.,The fund seeks to achieve its investment objective by investing at least 80% of its net assets (plus any borrowings for investment purposes) in securities included in the index. The index is designed to measure the performance of U.S. stocks of companies that exhibit relatively high intangible capital-to-book assets ratios within their respective sector.,"NXTI tracks a market cap-weighted index of 200 US companies that exhibit high intangible capital-to-book assets ratios within their respective sector. The fund seeks to outperform traditional market-cap indexes.

NXTI targets US companies with relatively high intangible capital-to-book assets ratios within their respective sectors. The fund defines intangible capital as productive assets that lack physical presence and are created through investments in brand, knowledge, and organization capital. The index construction starts by calculating a ratio of intangible capital-to-book assets for each security in an initial universe consisting of the largest 2000 US companies by market-cap. The 200 stocks with the highest intangible capital-to-book assets ratio are selected for inclusion. At least five stocks are included from each of the 13 sectors determined by the index provider using a combination of SIC and NAICS codes along with data from publicly available 10-K filings. Constituents are weighted by market capitalization, with individual security weights capped at 5%. The index reconstitutes quarterly.","The investment seeks to provide investment results that track, before fees and expenses, the performance of the Next Intangible Core Index. The fund seeks to achieve its investment objective by investing at least 80% of its net assets (plus any borrowings for investment purposes) in securities included in the index. The index is designed to measure the performance of U.S. stocks of companies that exhibit relatively high intangible capital-to-book assets ratios within their respective sector."
BITX,Volatility Shares Trust - 2x Bitcoin Strategy ETF,"Volatility Shares Trust - 2x Bitcoin Strategy ETF is an exchange traded fund launched and managed by Volatility Shares LLC. The fund is co-managed by Penserra Capital Management LLC. It invests in fixed income and currency markets. For its currency portion, the fund invests through derivatives in Bitcoin. It uses derivatives such as futures to create its portfolio. The fund seeks to invest in Bitcoin futures contracts through its wholly owned Cayman Islands subsidiary. For its fixed income portion, it invests in cash, cash-like instruments or high-quality securities. The fund seeks to track 2x the daily performance of the S&P CME Bitcoin Futures Daily Roll Index. Volatility Shares Trust - 2x Bitcoin Strategy ETF was formed on June 27, 2023 and is domiciled in the United States.","The fund is an ETF that seeks to achieve its investment objective by investing its assets principally in cash-settled bitcoin futures contracts that trade only on an exchange registered with the Commodity Futures Trading Commission, which currently is the Chicago Mercantile Exchange, and cash,cash-like instruments or high-quality securities that serve as collateral to the fund’s investments in Bitcoin Futures Contracts. The fund is non-diversified.","BITX aims to provide 2x the daily price movements of an index based on rolling front-month CME bitcoin futures.

BITX aims to provide 2x daily exposure to bitcoin futures. The fund seeks to track the price movement of bitcoin futures traded on the CME Futures Exchange for a single day. The fund buys cash-settled Bitcoin futures contracts and will roll the contracts on a monthly basis, as they near expiration. The expiring contracts are replaced with the next month contracts. The final trade date each month is the last Friday of the contract month. On day t-2 at market close, the index is 0% in the expiring futures contract and 100% in the next futures contract. Futures contracts can and often do trade in backwardation, meaning the costs of rolling contracts will reduce returns. The index itself is price weighted and does not rebalance. As a result, the return of BITX shares can vary significantly from 2x exposure, if held for longer than a day. As a geared product with daily resets, the fund is designed as a short-term trading tool and not a long-term investment vehicle.","The investment seeks daily investment results, before fees and expenses, that correspond to two times (2x) the daily performance of bitcoin. The fund is an ETF that seeks to achieve its investment objective by investing its assets principally in cash-settled bitcoin futures contracts that trade only on an exchange registered with the Commodity Futures Trading Commission, which currently is the Chicago Mercantile Exchange, and cash,cash-like instruments or high-quality securities that serve as collateral to the fund’s investments in Bitcoin Futures Contracts. The fund is non-diversified."
