symbol,name,description_yahoo,description_etfcom,description_morningstar,merged_description,description_original
FDNI,First Trust Dow Jones International Internet UCITS ETF,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index is developed, maintained and sponsored by S&P Dow Jones Indices LLC. The index is designed to measure the performance of securities of non-U.S. issuers whose primary business focus is Internet-related. The fund is non-diversified.","FDNI offers reasonable exposure to global ex-US internet firms. The fund divides eligible companies into two groups: internet commerce and internet services. Internet commerce firms provide goods and services through the internet, including online retail, advertising, publishing, gaming, and content streaming. Meanwhile, internet service firms provide internet access or other internet-related products or services, such as e-commerce infrastructure, cloud software, and telecom equipment. FDNI holds 40 names20 of the largest in each group. This produces a somewhat narrow view of the market, with heavy large-cap exposure. The fund is also market-cap-weighted, with individual weights capped at 10%. The index is reconstituted and rebalanced on a quarterly basis.","The investment seeks the results that correspond generally to the price and yield (before the fund’s fees and expenses) of an equity index called the Dow Jones International Internet Index (the “index”). The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index is developed, maintained and sponsored by S&P Dow Jones Indices LLC. The index is designed to measure the performance of securities of non-U.S. issuers whose primary business focus is Internet-related. The fund is non-diversified.","The First Trust Dow Jones International Internet UCITS ETF (FDNI) seeks to track the performance of the Dow Jones International Internet Index, focusing on securities of non-U.S. issuers whose primary business is Internet-related. The fund typically invests at least 90% of its net assets in the index's common stocks and depositary receipts. The index, developed by S&P Dow Jones Indices, provides exposure to global ex-US internet firms by selecting 40 names – specifically the 20 largest from both the internet commerce group (including online retail, gaming, and streaming) and the internet services group (covering internet access, e-commerce infrastructure, and cloud software). Holdings are market-cap-weighted with a 10% individual cap. This results in a somewhat narrow, large-cap focused, non-diversified portfolio, with the index being reconstituted and rebalanced quarterly.","The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index is developed, maintained and sponsored by S&P Dow Jones Indices LLC. The index is designed to measure the performance of securities of non-U.S. issuers whose primary business focus is Internet-related. The fund is non-diversified."
MILN,Global X Millennials Consumer ETF,"The fund invests more than 80% of its total assets in the securities of the underlying index. The underlying index is designed to measure the performance of U.S. listed companies that provide exposure to the millennial generation consumption trends, (collectively, ""Millennial Companies""), as defined by the index provider. The millennial generation refers to the demographic in the U.S. with birth years ranging from 1980 to 2000.","MILN tracks an index composed of US-listed companies that derive a significant source of their revenue from spending categories determined to be associated with millennials - people born between 1980 and 2000.

MILN invests in companies that are determined to have significant exposure with the millennial generation's spending habits. The index uses a proprietary fundamental research process to determine which spending categories are relevant to millennials. These categories include clothing, entertainment, travel, food, education, financial services, housing, and health. The portfolio will have a maximum of 15 stocks, a minimum of five are selected for each spending category. US companies with relevant exposure to these categories are scored by the level of their exposure. Firms determined to have significant exposure to the stated spending categories are then scored by a proprietary scale that determines which companies have a higher focus on millennials. These selected companies are weighted by market cap, with a maximum of 3% and a minimum of .3% for any given holding. The index undergoes annual reconstitution and rebalance.","The investment seeks to provide investment results that correspond generally to the price and yield performance, before fees and expenses, of the Indxx Millennials Thematic Index. The fund invests more than 80% of its total assets in the securities of the underlying index. The underlying index is designed to measure the performance of U.S. listed companies that provide exposure to the millennial generation consumption trends, (collectively, ""Millennial Companies""), as defined by the index provider. The millennial generation refers to the demographic in the U.S. with birth years ranging from 1980 to 2000.","The Global X Millennials Consumer ETF (MILN) seeks to track the Indxx Millennials Thematic Index by investing over 80% of its assets in index securities. This index is designed to measure the performance of US-listed companies with significant exposure to the spending habits and consumption trends of the millennial generation, defined as those born between 1980 and 2000. Using a proprietary methodology, the index identifies relevant spending categories and scores US companies based on their revenue exposure and focus on these millennial consumers, resulting in a select portfolio of companies weighted by market capitalization within specified limits to provide targeted exposure to this demographic trend.","The fund invests more than 80% of its total assets in the securities of the underlying index. The underlying index is designed to measure the performance of U.S. listed companies that provide exposure to the millennial generation consumption trends, (collectively, ""Millennial Companies""), as defined by the index provider. The millennial generation refers to the demographic in the U.S. with birth years ranging from 1980 to 2000."
IGM,iShares Expanded Tech Sector ETF,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. A significant portion of the underlying index is represented by securities of companies in the technology industry or sector. It is non-diversified.,"IGM tracks a market-cap-weighted index of US and Canadian technology companies.

IGM offers a broad coverage of the North American technology sector. Aside from conventional technology stocks, the fund also includes tech-related stocks from other sectorsspecifically internet retail companies. While IGM is a North American fund, nearly all its assets are allocated to the US. Seeking to provide a diversified exposure to the tech industry, its market-cap-weighted index caps each security's weight at 8.5%. The index is reconstituted semi-annually and rebalanced quarterly. Prior to December 24, 2018, the fund was tracking the S&P North American Technology Index. The change in index was due to a new Communications Services sector developed at the end of 2018.",The investment seeks to track the investment results of an index composed of North American equities in the technology sector and select North American equities from communication services and consumer discretionary sectors. The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. A significant portion of the underlying index is represented by securities of companies in the technology industry or sector. It is non-diversified.,"The iShares Expanded Tech Sector ETF (IGM) seeks to track a market-cap-weighted index focused on North American equities, primarily based in the US. The ETF invests at least 80% of its assets in the component securities of this index, which covers not only companies in the technology sector but also select tech-related companies from the communication services and consumer discretionary sectors, such as internet retail firms. While the underlying index employs a mechanism to cap individual security weights at 8.5% and is rebalanced quarterly (reconstituted semi-annually), the fund itself is legally considered non-diversified.",The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. A significant portion of the underlying index is represented by securities of companies in the technology industry or sector. It is non-diversified.
GRID,First Trust Nasdaq® Clean Edge® Smart Grid Infrastructure UCITS ETF,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index includes companies that are primarily engaged and involved in electric grid, electric meters and devices, networks, energy storage and management, and enabling software used by the smart grid infrastructure sector. The fund is non-diversified.","GRID is concentrated fund targeting global equities determined to be in the smart grid and electrical energy infrastructure sector as determined by Clean Edge. The fund includes companies that are either Pure Play more than 50% revenues or Diversified less than 50% revenues are derived from the smart grid and electrical energy infrastructure sector. The sector may include business in electric grid, electric meters and devices, networks, energy storage and management, and enabling software. GRID also screens for minimum liquidity and market cap. To enhance exposure to the smart grid market, the index provider uses a tiered weighting scheme. Securities are initially market cap weighted. Then a collective weight of 80% for Pure Play and 20% for Diversified are allocated. The Index is reconstituted semi-annually and rebalanced quarter.","The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the Nasdaq Clean Edge Smart Grid Infrastructure Index TM. The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index includes companies that are primarily engaged and involved in electric grid, electric meters and devices, networks, energy storage and management, and enabling software used by the smart grid infrastructure sector. The fund is non-diversified.","The First Trust Nasdaq Clean Edge Smart Grid Infrastructure UCITS ETF (GRID) seeks investment results that correspond generally to the price and yield of the Nasdaq Clean Edge Smart Grid Infrastructure Index. The fund typically invests at least 90% of its net assets in the common stocks and depositary receipts comprising this index. Focused on the global smart grid and electrical energy infrastructure sector, the index includes companies primarily engaged in areas such as electric grid technology, meters and devices, networks, energy storage and management, and enabling software. The index selects companies based on their revenue exposure to the sector (Pure Play or Diversified) and screens for minimum liquidity and market capitalization, employing a tiered weighting scheme that allocates 80% to Pure Play and 20% to Diversified companies after initial market cap weighting. As a non-diversified fund, GRID offers concentrated exposure to this specific infrastructure theme.","The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index includes companies that are primarily engaged and involved in electric grid, electric meters and devices, networks, energy storage and management, and enabling software used by the smart grid infrastructure sector. The fund is non-diversified."
POTX,Global X Cannabis ETF,"The fund invests at least 80% of its total assets in the securities of the underlying index and in American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") based on the securities in the underlying index. The underlying index is designed to provide exposure to exchange-listed companies that are active in the cannabis industry (collectively, "" Cannabis Companies""), as defined by Solactive AG, the provider of the underlying index (""index provider""). The fund is non-diversified.","POTX tracks an index of developed market companies related to cannabis, hemp & CBD.

The security was delisted. The last day of trading on an exchange is on February 16, 2024. POTX offers straightforward exposure to cannabis equities in developed markets. The funds underlying index targets pure-play firms of any capitalization with at least 50% of revenue, earnings or assets in the production and distribution of cannabis & hemp, financial services that support the industry, and pharmaceutical applications. The index also has a forward-looking aspect: companies expected to meet these conditions in the future are eligible, and are classified in a pre-revenue category. The language emphasizes that all firms must be publicly-traded, legally-operating businesses. Stocks are selected and weighted based on market-cap, with the 40 highest ranked pure-play firms and 10 highest ranked pre-revenue firms included in the portfolio. The index is reconstituted and rebalanced on a quarterly basis.",,"The Global X Cannabis ETF (POTX) was designed to provide straightforward exposure to exchange-listed companies active in the cannabis industry in developed markets. Tracking an index provided by Solactive AG, the fund targeted ""pure-play"" firms with significant involvement (at least 50% of revenue, earnings, or assets) in cannabis, hemp, CBD, related financial services, or pharmaceutical applications, and also included pre-revenue companies expected to meet these criteria. It invested at least 80% of its assets in the index's securities, ADRs, and GDRs, using a market-cap weighting strategy and rebalancing quarterly. Classified as non-diversified, POTX aimed to capture the cannabis sector's performance. Please note that the security was delisted, with its last day of trading on February 16, 2024.","The fund invests at least 80% of its total assets in the securities of the underlying index and in American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") based on the securities in the underlying index. The underlying index is designed to provide exposure to exchange-listed companies that are active in the cannabis industry (collectively, "" Cannabis Companies""), as defined by Solactive AG, the provider of the underlying index (""index provider""). The fund is non-diversified."
FSTA,Fidelity MSCI Consumer Staples Index ETF,"The fund invests at least 80% of assets in securities included in the fund's underlying index. The fund's underlying index is the MSCI USA IMI Consumer Staples 25/50 Index, which represents the performance of the consumer staples sector in the U.S. equity market. It may or may not hold all of the securities in the MSCI USA IMI Consumer Staples 25/50 Index. The fund is non-diversified.","FSTA is one of ten Fidelity ETFs that track MSCI sector indexes. The fund offers exposure to the consumer staples sector as defined by the GICS sector classification scheme. Like competitor VDC, FSTA tracks an index that uses GICS to define sectors, then selects and weights the stocks by market-cap. To meet diversification requirements, the funds underlying index employs a capping methodology, such that no group entity exceeds 25% of index weight and the aggregate weight of issuers with over 5% weight in the index are capped at 50% weight of the portfolio. Prior to December 1, 2020, FSTA tracked the unconstrained MSCI USA IMI Consumer Staples Index.","The investment seeks to provide investment returns that correspond, before fees and expenses, generally to the performance of the MSCI USA IMI Consumer Staples 25/50 Index. The fund invests at least 80% of assets in securities included in the fund's underlying index. The fund's underlying index is the MSCI USA IMI Consumer Staples 25/50 Index, which represents the performance of the consumer staples sector in the U.S. equity market. It may or may not hold all of the securities in the MSCI USA IMI Consumer Staples 25/50 Index. The fund is non-diversified.","The Fidelity MSCI Consumer Staples Index ETF (FSTA) seeks to provide investment returns that correspond, before fees and expenses, generally to the performance of the MSCI USA IMI Consumer Staples 25/50 Index. This index represents the performance of the U.S. consumer staples sector as defined by the GICS classification scheme, using market-cap weighting. The fund invests at least 80% of its assets in securities included in its underlying index, though it may not hold all of them. The index incorporates a 25/50 capping methodology to meet diversification requirements, and the fund itself is considered non-diversified.","The fund invests at least 80% of assets in securities included in the fund's underlying index. The fund's underlying index is the MSCI USA IMI Consumer Staples 25/50 Index, which represents the performance of the consumer staples sector in the U.S. equity market. It may or may not hold all of the securities in MSCI USA IMI Consumer Staples 25/50 Index. The fund is non-diversified."
VCLN,Virtus Duff & Phelps Clean Energy ETF,"Under normal market conditions, the fund will invest not less than 80% of its net assets (plus the amount of any borrowings for investment purposes) in equity securities of clean energy companies. The sub-adviser defines clean energy companies as those that derive at least 50% of their value from one or more of the following clean energy businesses: (a) the production of clean energy; (b) the provision of clean energy technology and equipment; or (c) the transmission and distribution of clean energy. It is non-diversified.","VCLN is an actively managed fund that invests in clean energy companies from around the world.

VCLN is actively managed to provide exposure to clean energy stocks from around the world. Companies from utilities, industrials, technology, and energy sectors should have at least 50% of their value in three clean energy business segments: (1) clean energy production, (2) provision of technology and equipment, and (3) transmission and distribution of clean energy. In identifying these businesses, stocks are evaluated based on their reported/estimated revenue, profits, assets, and capital expenditures dedicated to clean energy. A bottom-up, research-driven process is then employed to select the final portfolio. The fund identifies superior clean energy stocks using an in-depth fundamental business analysis, which includes a qualitative and quantitative assessment of investment outlook, regulatory and political events, and financial strength. Individual stocks are capped at 10%.","The investment seeks capital appreciation. Under normal market conditions, the fund will invest not less than 80% of its net assets (plus the amount of any borrowings for investment purposes) in equity securities of clean energy companies. The sub-adviser defines clean energy companies as those that derive at least 50% of their value from one or more of the following clean energy businesses: (a) the production of clean energy; (b) the provision of clean energy technology and equipment; or (c) the transmission and distribution of clean energy. It is non-diversified.","The Virtus Duff & Phelps Clean Energy ETF (VCLN) is an actively managed fund that seeks capital appreciation by investing globally in clean energy companies. Under normal market conditions, the fund invests not less than 80% of its net assets in equity securities of companies that derive at least 50% of their value from clean energy production, technology and equipment provision, or transmission and distribution. These companies are identified across various sectors including utilities, industrials, technology, and energy, with selection guided by a bottom-up, research-driven fundamental analysis evaluating factors like dedicated clean energy revenue, profits, assets, and capital expenditures. The fund is non-diversified, and individual stock holdings are typically capped at 10%.","Under normal market conditions, the fund will invest not less than 80% of its net assets (plus the amount of any borrowings for investment purposes) in equity securities of clean energy companies. The sub-adviser defines clean energy companies as those that derive at least 50% of their value from one or more of the following clean energy businesses: (a) the production of clean energy; (b) the provision of clean energy technology and equipment; or (c) the transmission and distribution of clean energy. It is non-diversified."
DIVG,Invesco Exchange-Traded Fund Trust II - SandP 500 High Dividend Growers Etf,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. Strictly in accordance with its guidelines and mandated procedures, S&P Dow Jones Indices LLC compiles, maintains and calculates the underlying index, which is designed to measure the performance of a subset of companies within the S&P 500® Index that have the highest forecasted dividend yield growth. The fund is non-diversified.","DIVG tracks a yield-weighted index of 100 companies in the S&P 500 with the highest forecasted dividend yield growth.

DIVG is passively managed to invest in US companies that have both consistent dividends historically and have high forecasted dividend yield growth. The underlying index screens eligible stocks from the S&P 500 Index. To be considered for inclusion, a stock must have a positive forecasted dividend yield and increased or maintained dividends for at least five consecutive years. The top 100 companies with the highest forecasted dividend yield growth are included in the portfolio. In a similar fashion, the index uses dividend yield forecasts for weighting instead of backward-looking dividend data. Constituents are weighted according to their forecasted dividend yield, with single issuer weights capped at 4% and GICS sector weights at 30%. The index rebalances semi-annually in April and October.","The investment seeks to track the investment results of the S&P 500® High Dividend Growth Index. The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. Strictly in accordance with its guidelines and mandated procedures, S&P Dow Jones Indices LLC compiles, maintains and calculates the underlying index, which is designed to measure the performance of a subset of companies within the S&P 500® Index that have the highest forecasted dividend yield growth. The fund is non-diversified.","The Invesco S&P 500 High Dividend Growers ETF (DIVG) is a passively managed fund aiming to track the S&P 500 High Dividend Growth Index. This index comprises approximately 100 companies selected from the S&P 500 based on having the highest forecasted dividend yield growth, requiring eligible firms to have a positive forecasted yield and a history of at least five consecutive years of increasing or maintaining dividends. Constituents are weighted according to their forecasted dividend yield, with limits of 4% for single issuers and 30% for sectors, and the index undergoes semi-annual rebalancing. The ETF generally invests at least 90% of its total assets in the securities of the underlying index and is classified as non-diversified.","DIVG is passively managed to invest in US companies that have both consistent dividends historically and have high forecasted dividend yield growth. The underlying index screens eligible stocks from the S&P 500 Index. To be considered for inclusion, a stock must have a positive forecasted dividend yield and increased or maintained dividends for at least five consecutive years. The top 100 companies with the highest forecasted dividend yield growth are included in the portfolio. In a similar fashion, the index uses dividend yield forecasts for weighting instead of backward-looking dividend data. Constituents are weighted according to their forecasted dividend yield, with single issuer weights capped at 4% and GICS sector weights at 30%. The index rebalances semi-annually in April and October."
RWO,SPDR Dow Jones Global Real Estate ETF,"The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in depositary receipts based on securities comprising the index. The index is a float-adjusted market capitalization index designed to measure the performance of publicly traded global real estate securities.","RWO tracks a cap-weighted index of global REITs and real estate companies. The fund invests across the market-cap spectrum.

RWO provides diversified exposure to the global real estate industry, with its 200+ holdings spanning multiple sectors, including commercial and residential REITs, real estate developers, specialized REITs, and investment management fund operators. The fund tilts significantly toward commercial REITs, while shying away from real estate developers. While global in nature, RWO overweights the US while being a bit light on Asia coverage. Overall, RWO can boast strong global real estate exposure. The index is reviewed quarterly.","The investment seeks to provide investment results that, before fees and expenses, correspond generally to the total return performance of the Dow Jones Global Select Real Estate Securities Indexsm based upon the global real estate market. The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in depositary receipts based on securities comprising the index. The index is a float-adjusted market capitalization index designed to measure the performance of publicly traded global real estate securities.","The SPDR Dow Jones Global Real Estate ETF (RWO) seeks to track the performance of the Dow Jones Global Select Real Estate Securities Index, which measures publicly traded global real estate securities, including REITs and real estate companies, using a float-adjusted market capitalization approach. The fund typically invests substantially all, at least 80%, of its assets in the securities comprising this index. RWO offers diversified exposure to the global real estate industry with over 200 holdings across various market caps and sectors like commercial and residential REITs, although it exhibits a significant tilt towards commercial REITs and is lighter on developers. Geographically, it provides global coverage but is notably overweight in the US and somewhat lighter on Asia.","The SPDR Dow Jones Global Real Estate ETF seeks to provide investment results that, before fees and expenses, correspond generally to the total return performance of the Dow Jones Global Select Real Estate Securities IndexSM (the “Index”)Seeks to provide exposure to the publicly traded real estate securities in the U.S., as well as, developed and emerging marketsFor inclusion in the index, companies must be both an equity owner and operator of commercial and/or residential real estate, have a minimum float adjusted market capitalization of at least $200 million, derive at least 75% of its total revenue from the ownership and operation of real estate assets"
SNPD,Xtrackers S&P ESG Dividend Aristocrats ETF,"The fund, using a “passive” or indexing investment approach, seeks investment results that correspond generally to the performance, before fees and expenses, of the underlying index. The underlying index is designed to measure the performance of constituents from the S&P High Yield Dividend Aristocrats Index that meet certain environmental, social and governance (“ESG”) criteria. It is non-diversified.","SNPD is a passively managed fund of companies that have consistently increased dividends while meeting certain ESG criteria. Starting with an initial universe of US companies across all market sizes, the fund considers stocks that have annual dividend increases for at least 20 years. The fund then excludes stocks that have no or low S&P DJI ESG scores. Furthermore, firms involved in relevant ESG controversies and specific business activities, as well as those against the principles of UN Global Compact, are screened out. The portfolio is weighted by their indicated annual dividend yield, subject to capping and liquidity constraints. The indicated annual dividend yield is measured by multiplying the latest dividend payment by the annual frequency of payments. The index is reviewed quarterly and rebalanced annually. On February 10, 2025, both the fund and its index dropped and replaced ESG name claims with Scored and Screened. The change has no effect on the funds strategy.","The investment seeks investment results that correspond generally to the performance, before fees and expenses, of the S&P ESG High Yield Dividend Aristocrats Index. The fund, using a “passive” or indexing investment approach, seeks investment results that correspond generally to the performance, before fees and expenses, of the underlying index. The underlying index is designed to measure the performance of constituents from the S&P High Yield Dividend Aristocrats Index that meet certain environmental, social and governance (“ESG”) criteria. It is non-diversified.","The Xtrackers S&P ESG Dividend Aristocrats ETF is a passively managed fund seeking to track the performance of the S&P ESG High Yield Dividend Aristocrats Index. The fund invests in US companies across all market sizes that demonstrate a history of at least 20 consecutive years of annual dividend increases and meet specific environmental, social, and governance (ESG) criteria. The strategy involves rigorous screening based on ESG scores, involvement in controversies, specific business activities, and adherence to UN Global Compact principles. Holdings are weighted by their indicated annual dividend yield, subject to constraints, and the index is reviewed quarterly and rebalanced annually. This non-diversified fund's strategy remains consistent, although name claims related to ESG were updated to ""Scored and Screened"" as of February 10, 2025.","The fund, using a ""passive"" or indexing investment approach, seeks investment results that correspond generally to the performance, before fees and expenses, of the underlying index. The underlying index is designed to measure the performance of constituents from the S&P High Yield Dividend Aristocrats Index that meet certain environmental, social and governance (""ESG"") criteria. It is non-diversified."
RYT,Invesco S&P 500 Equal Weight Technology ETF,"The fund generally will invest at least 90% of its total assets in securities that comprise the underlying index. The underlying index is composed of all of the components of the S&P 500® Information Technology Index, an index that contains the common stocks of all companies included in the S&P 500® Index that are classified as members of the information technology services sector, as defined according to the Global Industry Classification Standard (""GICS"").","RSPT tracks an equal-weighted index of S&P 500 technology companies.

RSPT provides broad coverage of large technology companies but its equal-weighting scheme skews it away from having a market-like portfolio. A pure market-cap benchmark would invest heavily in its top securities, which are the mega-caps in the tech industry. Instead, RSPT allocates only a fraction of its overall assets to its top ten holdings. This produces sector tilts such as an overweight to semiconductors and an underweight to software & IT services. The index is rebalanced on a quarterly basis. Prior to June 07, 2023, the fund traded under the ticker, RYT.",,"The Invesco S&P 500 Equal Weight Technology ETF (RSPT), formerly known as RYT, tracks an equal-weighted index of S&P 500 technology companies. This underlying index, the S&P 500 Information Technology Index, comprises S&P 500 companies classified under the Information Technology sector. The fund generally invests at least 90% of its assets in these securities, offering broad exposure to large technology firms. Unlike market-cap weighted tech funds that are heavily concentrated in top mega-cap stocks, RSPT's equal-weighting approach distributes assets more evenly, leading to a portfolio less skewed towards the largest constituents and potentially resulting in different sector exposures. The index is rebalanced on a quarterly basis.","The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is composed of all of the components of the S&P 500® Information Technology Index, an index that contains the common stocks of all companies included in the S&P 500® Index that are classified as members of the information technology services sector, as defined according to the Global Industry Classification Standard (GICS)."
INDAX,ALPS / Kotak India ESG Fund - Investor,"Under normal circumstances, the fund will invest at least 80% of its net assets, plus any borrowings for investment purposes, in equity and equity-linked securities of “Indian companies.” Equity securities in which the fund can invest may include common stocks, preferred stocks, convertible securities, rights and warrants to buy common stocks. The Advisor intends to invest in companies of all capitalization sizes.",,"The investment seeks to achieve long-term capital appreciation. Under normal circumstances, the fund will invest at least 80% of its net assets, plus any borrowings for investment purposes, in equity and equity-linked securities of “Indian companies.” Equity securities in which the fund can invest may include common stocks, preferred stocks, convertible securities, rights and warrants to buy common stocks. The Advisor intends to invest in companies of all capitalization sizes.","The ALPS / Kotak India ESG Fund seeks long-term capital appreciation by primarily investing in equity and equity-linked securities of Indian companies. Under normal circumstances, the fund allocates at least 80% of its net assets to these securities, selecting companies across all market capitalization sizes. The investment strategy incorporates Environmental, Social, and Governance (ESG) criteria in the selection process, aligning the portfolio with the ESG theme reflected in the fund's name.","Under normal circumstances, the fund will invest at least 80% of its net assets, plus any borrowings for investment purposes, in equity and equity-linked securities of “Indian companies.” Equity securities in which the fund can invest may include common stocks, preferred stocks, convertible securities, rights and warrants to buy common stocks. The Advisor intends to invest in companies of all capitalization sizes."
SPRE,SP Funds S&P Global REIT Sharia ETF,"The index includes all REIT securities listed in developed and emerging markets and included as constituents of the S&P Global BMI Shariah Index, a comprehensive global Sharia-compliant index of publicly-traded equity securities. Under normal circumstances, at least 80% of the fund's total assets will be invested in the component securities of the index. It is non-diversified.","SPRE tracks a market-cap-weighted index of Shariah-compliant global REITs.

SPRE is passively managed to provide exposure to all Shariah-compliant constituents of the broader S&P Global REIT universe. The underlying index considers all REIT securities listed in both developed and emerging markets that meet minimum market-cap and trading value requirements. Securities are then screened for compliance with Islamic religious laws, such as: maintaining lower debt levels, permissible income below acceptable levels and maintain prescribed cash or asset levels. In addition, the index removes securities involved in business activities that are not Shariah-compliant such as gambling, alcohol, or tobacco. The underlying index is rebalanced and reconstituted monthly.","The investment seeks to track the performance, before fees and expenses, of the S&P Global All Equity REIT Shariah Capped Index. The index includes all REIT securities listed in developed and emerging markets and included as constituents of the S&P Global BMI Shariah Index, a comprehensive global Sharia-compliant index of publicly-traded equity securities. Under normal circumstances, at least 80% of the fund's total assets will be invested in the component securities of the index. It is non-diversified.","The SP Funds S&P Global REIT Sharia ETF (SPRE) is a passively managed fund designed to track the performance of the market-cap-weighted S&P Global All Equity REIT Shariah Capped Index. This index comprises Shariah-compliant REIT securities listed in developed and emerging markets, drawn from the broader S&P Global BMI Shariah Index. Component securities are rigorously screened to ensure compliance with Islamic religious laws, including specific requirements regarding debt, income, cash levels, and the exclusion of prohibited business activities like gambling or alcohol. Under normal circumstances, the fund invests at least 80% of its total assets in the index constituents. SPRE is considered non-diversified, and its underlying index undergoes monthly rebalancing and reconstitution.","The index includes all REIT securities listed in developed and emerging markets and included as constituents of the S&P Global BMI Shariah Index, a comprehensive global Sharia-compliant index of publicly-traded equity securities. Under normal circumstances, at least 80% of the fund's total assets will be invested in the component securities of the index. It is non-diversified."
IDOG,ALPS International Sector Dividend Dogs ETF,"The fund seeks investment results that replicate as closely as possible, before fees and expenses, the performance of the underlying index. The underlying index is a rules-based index intended to give investors a means of tracking the overall performance of the highest dividend paying stocks (i.e. ""Dividend Dogs"") in the S-Network Developed International Equity 1000 Index.","IDOG tracks an equal-weighted index that selects the five companies with the highest dividend yield in each of the 10 GICS sectors from international developed markets.

IDOG launched at the end of June 2013 with a mandate to provide a high dividend yield from a portfolio of stocks with a balanced sector profile. The idea is to apply a modified version of the Dogs of the Dow strategy to a global universe of stocks. The term global is also modified, as IDOG only selects stocks from developed economies, excluding the US and Canada. The fund takes the 5-highest-yielding stocks from each of the 10 major sectors, for a total of 50 holdings. The goal is to eliminate the counter-cyclical sector biases present in traditional yield-weighted dividend strategies by picking the same number of stocks from each sector. The Underlying Index is reconstituted annually with quarterly rebalance. The fund's sibling fund, SDOG, applies the same strategy to the S&P 500.","The investment seeks investment results that replicate as closely as possible, before fees and expenses, the performance of the S-Network® International Sector Dividend Dogs Index. The fund seeks investment results that replicate as closely as possible, before fees and expenses, the performance of the underlying index. The underlying index is a rules-based index intended to give investors a means of tracking the overall performance of the highest dividend paying stocks (i.e. ""Dividend Dogs"") in the S-Network Developed International Equity 1000 Index.","The ALPS International Sector Dividend Dogs ETF (IDOG) seeks to track the performance of the S-Network International Sector Dividend Dogs Index, which is a rules-based index selecting the highest dividend-paying stocks, or ""Dividend Dogs,"" from international developed markets, excluding the US and Canada. Applying a modified ""Dogs of the Dow"" strategy, the index specifically identifies the five companies with the highest dividend yield within each of the 10 GICS sectors from its universe. This results in an equal-weighted portfolio typically holding 50 stocks, designed to provide a high dividend yield while maintaining a balanced sector profile. The underlying index is reconstituted annually and rebalanced quarterly.","The fund seeks investment results that replicate as closely as possible, before fees and expenses, the performance of the underlying index. The underlying index is a rules-based index intended to give investors a means of tracking the overall performance of the highest dividend paying stocks (i.e. ""Dividend Dogs"") in the S-Network Developed Markets (ex NA) Index."
