symbol,name,merged_description,description_original,description_etfcom,description_yahoo,description_morningstar
IAUF,iShares Gold Strategy ETF,"This non-diversified investment product, which was delisted with its final trading day on August 12, 2024, offered exposure to gold through a specific blend of assets. It primarily tracked an index composed mainly (around 76%) of liquid gold futures contracts, held via a subsidiary structure, while also allocating a significant portion (around 24%) to an exchange-traded product backed by physical gold, specifically the iShares Gold Trust. A key feature aimed to provide tax advantages over traditional commodity investments by issuing a 1099 form (instead of a K-1) and subjecting capital gains to standard rates rather than the higher collectibles tax rate associated with physical gold. The fund and its underlying index followed a quarterly rebalancing schedule.","The underlying index is composed of exchange-traded gold futures contracts and one or more ETPs backed by or linked to physical gold. The fund invests in a combination of exchange-traded gold futures contracts and other exchange-traded or OTC derivatives that correlate to the investment returns of physical gold, based on the notional value of such derivative instruments and ETPs backed by or linked to physical gold, which may include the iShares Gold Trust. It is non-diversified.","The security was delisted. The last day of trading on an exchange is August 12, 2024. IAUF provides exposure to gold with a few twists. The Underlying Index allocates 76% to Bloomberg Gold Tracker Total Return Index (Tracker Index) and 24% to iShares Gold Trust (IAU). The Tracker Index holds a long position on liquid gold futures contracts traded on the CME. To provide maximum liquidity, October gold contract is excluded due to its low trading volume and open interest . The gold futures are held via a Cayman Islands subsidiary. IAUFs structure addresses two of the sticking points associated with gold exposure. First, IAUF shareholders will receive a 1099 form at tax time, similar to other equity positions, not the K-1 typically associated with commodity pools. Second, capital gains in the fund are taxed at the usual rates, not the higher collectibles rate associated with physical gold investments. The Underlying Index and fund are rebalanced quarterly. Prior to March 1, 2021, the fund was actively managed, aiming to maximize correlation with the Underlying Index.",,
VPOP,Simplify Volt Pop Culture Disruption ETF,"This investment fund primarily seeks exposure to U.S. and foreign equity securities of companies involved in its core theme of pop culture disruption. A distinguishing feature of its strategy is the application of an option overlay to its equity investments. Characterized by a focused approach on its specific investment theme, the fund operates as a non-diversified portfolio.","The adviser and sub-adviser seek to achieve the fund's investment objective by investing in U.S. and foreign equity securities and equity securities of companies that are consistent with the fund's investment theme of pop culture disruption. The adviser applies an option overlay strategy to the fund's equity investments. Under normal circumstances, the fund primarily invests in U.S. and foreign equity securities of companies that are engaged in the fund's investment theme. It is non-diversified.",,,
GENY,Principal Millennial Global Growth ETF,"This actively managed ETF, which ceased trading on October 13, 2023, focused on global growth companies expected to benefit from the economic activity and spending patterns of the Millennial generation (defined as those born between 1980 and the mid-2000s). It employed a proprietary quantitative model to select growth-oriented equity securities across all market capitalizations. Under normal circumstances, the fund invested at least 40% of its assets in foreign and emerging markets and concentrated its holdings (over 25%) in industries within the consumer discretionary and communication services sectors. Characterized as non-diversified and rebalanced annually, the fund had previously tracked an index before transitioning to active management in July 2022.","Under normal circumstances, the fund primarily invests in equity securities, focusing on growth equity securities. Under normal circumstances, it invests at least 40% of its net assets in foreign and emerging market securities. The fund invests in equity securities of different market capitalizations (small, medium, or large). The fund will concentrate its investments (invest more than 25% of its assets) in one or more industries within the consumer discretionary sector and one or more industries within the communication services sector.","The security is being delisted. The last day of trading on an exchange is October 13, 2023. GENY is actively managed and aims to provide exposure to growth companies around the world that are determined to have significant economic exposure to the spending habits of Millennials, which are those born between 1980 and the mid-2000s. The fund manager uses a proprietary quantitative model designed to identify and select equity securities with medium or high Millennial exposure, based on the materiality of the company's exposure to Millennial-related themes and the potential role of Millennials in driving long-term growth. Some segments with the most Millennial exposure are likely to be included but may change as the Millennial generation ages. Stocks may be of any market capitalization. Up to 40% of the funds assets may be in foreign and emerging market securities. The fund is non-diversified and is rebalanced annually. Prior to July 15, 2022, the fund tracked an index with similar exposure.",,
IEME,iShares Evolved U.S. Media and Entertainment ETF,"This investment fund concentrates its portfolio, under normal circumstances, by investing at least 80% of its net assets in U.S.-listed common stocks of media and entertainment companies spanning large, mid, and small capitalizations. Its distinct strategy relies on identifying companies within a proprietary ""Media and Entertainment Evolved Sector,"" which groups businesses based on economic characteristics historically correlated with traditional firms in this industry. Notably, the fund is non-diversified, allowing for potentially larger allocations to individual holdings.","The fund seeks to achieve its investment objective by investing, under normal circumstances, at least 80% of its net assets in U.S. listed common stock of large-, mid- and small-capitalization media and entertainment companies. It will hold common stock of those companies that fall into the Media and Entertainment Evolved Sector which have economic characteristics that have been historically correlated with companies traditionally defined as media and entertainment companies. The fund is non-diversified.",,,
IQDG,WisdomTree International Quality Dividend Growth Fund,"This ETF provides targeted exposure to dividend-paying companies demonstrating quality and growth characteristics within developed markets, specifically excluding the US and Canada. It tracks an index constructed by screening stocks for factors like return on equity, return on assets, long-term earnings growth estimates, and dividend sustainability, selecting the top 300 qualifiers. These holdings are then weighted based on their total annual cash dividends paid, subject to caps on individual securities, countries, and sectors at rebalancing. Committing to invest at least 80% of its assets in index components or economically similar investments, the fund is classified as non-diversified.","Under normal circumstances, at least 80% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index consists of dividend-paying common stocks with growth characteristics of companies in the industrialized world, excluding Canada and the United States. The fund is non-diversified.","IQDG tracks an index of dividend-paying total market stocks from developed markets outside the US and Canada. The index is weighted by dividends paid.

IQDG offers an alternative, dividend-flavored take on total market stocks from developed countries outside the US and Canada. Like many WisdomTree ETFs, IQDG only holds dividend-paying stocks and deploys growth and quality screens. The fund ranks stocks by quality (3-year average ROE and ROA) and growth (long-term earnings growth estimates). Earnings yield must exceed dividend yield as well, a measure of dividend sustainability. The top 300 names make the cut and receive weight according to the total of their annual cash dividend payouts. Each constituent is capped at 5% weight and no single country or sector receives more than 20% weight at the annual rebalance. Sibling fund IHDG offers the same methodology with a currency-hedge overlay for USD investors.","Under normal circumstances, at least 80% of the fund's total assets will be invested in constituent securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such constituent securities. The index consists of dividend-paying common stocks with growth characteristics of companies in the industrialized world, excluding Canada and the United States. The fund is non-diversified.","The investment seeks to track the price and yield performance, before fees and expenses, of the WisdomTree International Quality Dividend Growth Index. Under normal circumstances, at least 80% of the fund's total assets will be invested in constituent securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such constituent securities. The index consists of dividend-paying common stocks with growth characteristics of companies in the industrialized world, excluding Canada and the United States. The fund is non-diversified."
CLSM,Cabana Target Leading Sector Moderate ETF,"This actively managed fund-of-funds aims to achieve long-term growth while seeking a balance with capital preservation. It primarily allocates assets among other ETFs based on economic conditions and market outlook, utilizing a proprietary algorithm that combines fundamental and technical analysis to identify attractive market sectors. While focusing on sector rotation, its investment universe can span various asset classes, including global equities and fixed income without restrictions on maturity or quality, and may include allocations to less-correlated assets to manage volatility. The fund is classified as non-diversified.","The fund is an actively managed exchange-traded fund (“ETF”) that seeks to achieve its investment objective primarily by allocating its assets among ETFs that invest in securities of companies in the various sectors of the U.S. market: communication services, consumer discretionary, consumer staples, energy, financials, health care, industrials, information technology, materials, real estate, and utilities. It is non-diversified.","CLSM is an actively managed fund-of-funds that allocates its exposure based on economic conditions and market outlook for five broad asset classes: equities, fixed income, real estate, currencies, and commodities. Equities include both domestic and foreign companies, including emerging markets. Fixed income securities have no restrictions in maturity, quality, or duration. The sub-adviser uses a proprietary algorithm that combines fundamental economic and technical price data to identify investments in sectors that appear to be attractive. The fund can also allocate across less-/non-correlated assets to manage volatility or any potential market declines. The fund seeks a balance between capital preservation and growth. On January 8, 2024, the fund acquired all assets and liabilities of Cabana Target Leading Sector Aggressive ETF (ticker: CLSA) and Cabana Target Leading Sector Conservative ETF (ticker: CLSC), which had $39 million and $24 million in assets, respectively.",,"The investment seeks to provide long-term growth. The fund is an actively managed exchange-traded fund (“ETF”) that seeks to achieve its investment objective primarily by allocating its assets among ETFs that invest in securities of companies in the various sectors of the U.S. market: communication services, consumer discretionary, consumer staples, energy, financials, health care, industrials, information technology, materials, real estate, and utilities. It is non-diversified."
EASG,Xtrackers MSCI EAFE ESG Leaders Equity ETF,"This exchange-traded fund provides exposure to large- and mid-capitalization companies located in developed equity markets, specifically excluding the United States and Canada. Its core investment strategy focuses on firms demonstrating leading Environmental, Social, and Governance (ESG) characteristics. The underlying index assesses companies based on ESG risk and opportunity management, requiring constituents to meet minimum scoring thresholds while screening out those involved in severe ESG controversies or certain controversial industries. Selection aims to cover approximately half the market capitalization within each sector, prioritizing higher-rated ESG performers, with holdings subsequently weighted by market capitalization within their respective sectors. The fund commits to investing at least 80% of its assets in the securities comprising its index, which may include depositary receipts.","The index consists of large- and medium-capitalization companies across developed markets countries, excluding Canada and the United States. The fund will invest at least 80% of its total assets (but typically far more) in component securities (including depositary receipts in respect of such securities) of the index.","EASG tracks a principles-based, market-cap-weighted index of stocks from developed markets outside of the US and Canada.

EASG is an ESG-focused fund of large- and midcap stocks from developed economies outside North America. The funds index scores each security for ESG risk and opportunity management. Holdings must meet a minimum score threshold, and the index also screens out companies involved in severe ESG controversies or specific controversial industries. After this initial screening, the index uses the following process to select securities until it covers 50% of the market cap in each sector: 1) eligible securities in the top 35% of market cap, 2) highly-rated securities in the top 50%, 3) current holdings in the top 65%, 4) other eligible securities. At each step, higher rated firms are selected first. Holdings are market-cap-weighted within their respective sector. The index undergoes reconstitution in May and rebalancing in August, November and February. Prior to Feb. 3, 2025, the fund was named Xtrackers MSCI EAFE ESG Leaders Equity ETF, and tracked MSCI EAFE ESG Leaders Index.","The underlying index consists of large- and medium-capitalization companies across developed markets countries, excluding Canada and the United States. The fund will invest at least 80% of its total assets (but typically far more) in component securities (including depositary receipts in respect of such securities) of the underlying index.","The investment seeks investment results that correspond generally to the performance, before fees and expenses, of the MSCI EAFE Selection Index,. The underlying index consists of large- and medium-capitalization companies across developed markets countries, excluding Canada and the United States. The fund will invest at least 80% of its total assets (but typically far more) in component securities (including depositary receipts in respect of such securities) of the underlying index."
DUDE,Merlyn.AI SectorSurfer Momentum ETF,"This fund is closing, with its last trading day scheduled for November 10, 2023. It employed a dynamic investment strategy driven by a proprietary algorithmic indicator designed to identify market conditions as either 'Bull' or 'Bear,' utilizing inputs such as price trends, market momentum, sentiment, and volatility. In perceived bull markets, the portfolio targeted six thematic equity ETFs (a mix of sector and geopolitical exposures) aiming for an aggressive 70/30 domestic/foreign allocation. During identified bear markets, the strategy shifted defensively, selecting at least four momentum-leading safe-haven ETFs from asset classes like bonds, treasuries, and gold. The fund explicitly avoided inverse and leveraged instruments, was classified as non-diversified, and while its index was typically evaluated monthly, the core indicator could react to significant market volatility at any time.","Under normal circumstances, at least 80% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in the component securities of the index. The index seeks to determine whether U.S. equity markets appear to be in an advancing market (a ""Bull"" indicator) or appear to have an elevated risk of market decline (a ""Bear"" indicator). The fund is non-diversified.","This fund is closing. The last day of trading is November 10, 2023. DUDE tracks an index that shifts its investment strategies during times of market decline. The fund uses their algorithmic Bull/Bear indicator that utilizes price-trend, market momentum, value sentiment, and market volatility to assess market conditions. It maintains the bull condition during times of advancing markets, and the bear condition during decline. During bull markets, the index selects six thematic ETFs (four sectors and two geopolitical sectors) that approximate the 70/30 domestic/foreign equities ratio of an aggressive portfolio. In bear markets, the fund selects at least four momentum leaders from among a broad selection of bond, treasury, and gold safe-harbor ETFs. The fund does not use inverse and leveraged ETFs. The index is normally evaluated monthly, but the bull/bear indicator can be activated anytime when excess market volatility is experienced. Prior to June 1, 2022, the index name was MAI SectorSurfer Momentum Index.",,
DRIV,Global X Autonomous & Electric Vehicles ETF,"This fund aims to mirror the performance of an index focused on the autonomous and electric vehicle industries. It allocates at least 80% of its assets to a global portfolio of companies involved in areas such as electric/hybrid vehicle production, related components and materials, autonomous driving technology, and connected transportation services. Utilizing a proprietary natural language processing algorithm, the index identifies relevant companies across various market capitalizations, including those in emerging markets, by scoring their exposure based on keyword frequency in public documents across distinct segments like EV production, components, and autonomous tech. The underlying index employs a modified market-capitalization weighting approach, capping individual stock weights at 3% while assigning specific weights to smaller companies within defined segments, and is reconstituted semi-annually.","The fund invests at least 80% of its total assets in the securities of the index. The index is designed to provide exposure to exchange-listed companies that are involved in the development of electric vehicles and/or autonomous vehicles, including companies that produce electric/hybrid vehicles, electric/hybrid vehicle components and materials, autonomous driving technology, and network connected services for transportation.","DRIV uses a proprietary natural language processing algorithm to identify companies with exposure to one of three segments: electronic vehicles (EV), electric vehicle components (EVC), and autonomous vehicle technology (AVT). The EVC segment is further split into two sub-groups: components and materials. Holdings may span the market-cap spectrum and come from across the globe, including some emerging markets. The algorithm scores eligible companies within each segment based on how frequently each firm is referenced in relation to specific keywords in public documents, such as financial news. The index is comprised of the top 15 companies in EV, top 30 in EVC (15 in each sub-group) and top 30 in AVT. The index uses a modified market-cap weighting, assigning 2% weight to each company in the bottom 20% of its segment, and capping all others at 3%. The index is reconstituted semi-annually.",,"The investment seeks to provide investment results that correspond generally to the price and yield performance, before fees and expenses, of the Solactive Autonomous & Electric Vehicles Index. The fund invests at least 80% of its total assets in the securities of the index. The index is designed to provide exposure to exchange-listed companies that are involved in the development of electric vehicles and/or autonomous vehicles, including companies that produce electric/hybrid vehicles, electric/hybrid vehicle components and materials, autonomous driving technology, and network connected services for transportation."
BOTZ,Global X Robotics & Artificial Intelligence ETF,"This investment vehicle seeks to track the performance of companies globally engaged in robotics and artificial intelligence by investing at least 80% of its assets in securities comprising the Indxx Global Robotics & Artificial Intelligence Thematic Index. The index includes exchange-listed companies in developed markets, selected and weighted by market capitalization, that earn significant revenue from or have a stated business purpose in the development and production of robotics and AI. While offering cross-sector exposure, encompassing diverse applications such as drones, healthcare robots, and predictive analytics software, the portfolio typically shows a strong concentration in the Industrials and Technology sectors. The underlying index undergoes annual reconstitution and rebalancing, and the fund is classified as non-diversified.","The fund invests at least 80% of its total assets in the securities of the underlying index. The underlying index is designed to provide exposure to exchange-listed companies in developed markets that are involved in the development of robotics and/or artificial intelligence as defined by Indxx, the provider of the underlying index. The fund is non-diversified.","BOTZ provides market- cap selected and weighted exposure to companies involved in the development and production of robots or artificial intelligence.

BOTZ provides cross- sector exposure to companies working on the development and production of robotics and artificial intelligence through a market- cap selected and weighted index. Eligible companies are listed in developed countries and must earn a significant portion of their revenue from, or have a stated business purpose in, the field of robotics or artificial intelligence. This field includes varied applications from the development of drones to healthcare robots and predictive analytics software. Viewed through traditional sector classification systems, BOTZ leans heavily towards industrials and technology. The index is reconstituted and rebalanced annually.",,"The investment seeks to provide investment results that correspond generally to the price and yield performance, before fees and expenses, of the Indxx Global Robotics & Artificial Intelligence Thematic Index. The fund invests at least 80% of its total assets in the securities of the underlying index. The underlying index is designed to provide exposure to exchange-listed companies in developed markets that are involved in the development of robotics and/or artificial intelligence as defined by Indxx, the provider of the underlying index. The fund is non-diversified."
COWG,Pacer US Large Cap Cash Cows Growth Leaders ETF,"This exchange-traded fund employs a rules-based strategy targeting large-capitalization U.S. companies that exhibit strong profitability combined with growth characteristics. Starting with the 1000 largest U.S. companies, it screens for firms demonstrating above-average free cash flow margins, as well as positive projected free cash flow and earnings growth over the subsequent two years. From this group, the top 100 companies are selected based on their ranking by trailing 12-month free cash flow margin. Holdings within the portfolio are weighted using 6-month price momentum, and individual company weights are capped at 5%. The underlying index is reconstituted and rebalanced on a quarterly basis.",A strategy-driven exchange traded fund that aims to identify top growth companies in the Russell 1000 by screening for above average free cash flow margins.,"COWG intends to target profitability by utilizing a rules-based methodology in constructing its quality earnings portfolio. From the initial universe comprising the 1000 largest US companies, the fund identifies top growth securities by screening for above-average projected free cash flows and earnings over each of the next two years. Eligible securities are ranked by their trailing 12-month free cash flow margin, and the top 100 companies are selected. Index holdings are weighted based on 6-month price momentum. Individual companies are capped at 5% for diversification purposes. The index is reconstituted and rebalanced quarterly in March, June, September, and December.","The index uses a rules-based methodology that seeks to provide exposure to large-capitalization U.S. companies with above average free cash flow margins. Under normal circumstances, the fund will seek to invest at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in securities of large-capitalization companies (“large cap”) that are principally traded in the United States. It is non-diversified.","The investment seeks to track the performance, before fees and expenses, of the Pacer US Large Cap Cash Cows Growth Leaders Index. The index uses a rules-based methodology that seeks to provide exposure to large-capitalization U.S. companies with above average free cash flow margins. Under normal circumstances, the fund will seek to invest at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in securities of large-capitalization companies (“large cap”) that are principally traded in the United States. It is non-diversified."
JUST,Goldman Sachs JUST U.S. Large Cap Equity ETF,"This investment vehicle aims to mirror the performance of an index comprising large-capitalization U.S. companies recognized for engaging in ""just business behavior."" It primarily invests (at least 80%) in securities included in its underlying index, which screens the Russell 1000 universe using a unique, survey-based methodology to assess corporate conduct. This assessment focuses on how companies treat various stakeholders, including workers, customers, communities, and the environment, alongside governance practices. Companies are ranked against their industry peers based on these assessments, with the top-performing half selected for inclusion. The index reconstitutes annually according to survey results, allowing it to potentially adapt to evolving public priorities regarding responsible business practices. Within the index, individual stocks are weighted by market capitalization relative to their industry peers, while overall industry weights are maintained in line with the broader Russell 1000 Index.","The fund seeks to achieve its investment objective by investing at least 80% of its assets in securities included in its underlying index, in depositary receipts representing securities included in its underlying index and in underlying stocks in respect of depositary receipts included in its underlying index. The index is designed to deliver exposure to equity securities of large capitalization U.S. issuers that engage in ""just business behavior"" based on rankings produced by the index provider.","JUST tracks a tier-weighted index of US-listed large-cap stocks selected based on a survey-based assessment of business behavior.

JUST screens down the Russell 1000 Index by selecting stocks with the highest ranking for their business practices towards environmental, social, and governance issues. Index construction begins with the index provider conducting surveys to identify business behavior priorities. The index provider develops metrics and assigns weightings to correspond to the behaviors identified based on relative importance. For example: shareholders and governance, how companies treat their workers, their customers, the environment, and the communities they interact with. The index is reconstituted annually based on the survey results. As such, JUST may be more responsive to topical ESG issues. Stocks are scored and ranked against their industry peers, with the top half being selected for inclusion in the index. Individual stocks are weighted by market-cap within their respective industry and industry weightings are matched to the Russell 1000.",,"The investment seeks to provide investment results that closely correspond, before fees and expenses, to the performance of the JUST US Large Cap Diversified Index. The fund seeks to achieve its investment objective by investing at least 80% of its assets in securities included in its underlying index, in depositary receipts representing securities included in its underlying index and in underlying stocks in respect of depositary receipts included in its underlying index. The index is designed to deliver exposure to equity securities of large capitalization U.S. issuers that engage in ""just business behavior"" based on rankings produced by the index provider."
IQM,Franklin Intelligent Machines ETF,"Seeking capital appreciation, this actively managed fund invests globally, primarily in the common stocks of companies relevant to the theme of intelligent machines. It commits at least 80% of its net assets under normal market conditions to this theme, utilizing fundamental research to identify businesses involved in areas such as machine learning, robotics, autonomous vehicles, factory automation, and advanced software solutions. While capable of investing across various economic sectors, the fund may exhibit concentration, particularly in technology, and is classified as non-diversified.","Under normal market conditions, the fund invests at least 80% of its net assets in equity securities of companies that are relevant to its investment theme of intelligent machines. The fund invests predominantly in common stock. Although it may invest across economic sectors, the advisor expects to have significant positions in particular sectors including technology. The fund is non-diversified.","IQM is an actively managed portfolio of global equity securities of companies that are relevant to intelligent machines.

IQM invests in global stocks involved with machine learning technologies in areas like robotics, driverless vehicles and algorithmic data analysis. Securities are selected based on the fundamental research by the fund advisor in which they believe well positioned to benefit from intelligent design, such as computer-aided design or CAD software, factory automation, robotic tools and services, and industrial software solutions. Due to the investment objective of the fund, it can become concentrated to particular sectors at times. IQM is one of the first three thematic funds to launch from Franklin Templeton.",,"The investment seeks capital appreciation. Under normal market conditions, the fund invests at least 80% of its net assets in equity securities of companies that are relevant to its investment theme of intelligent machines. The fund invests predominantly in common stock. Although it may invest across economic sectors, the advisor expects to have significant positions in particular sectors including technology. The fund is non-diversified."
EBIZ,Global X E-commerce ETF,"This investment vehicle is designed to provide exposure to the growing e-commerce sector by generally tracking the performance of an underlying index, investing at least 80% of its assets in the index's securities. It targets global companies positioned to benefit from increased e-commerce adoption, including those operating online platforms, providing essential software and services, or generating at least 50% of their revenue directly from online sales. While encompassing companies of various sizes, the fund limits exposure to specific emerging markets and employs a modified capitalization weighting methodology with constituent caps, subject to semi-annual reconstitution and rebalancing. The fund is considered non-diversified.","The fund invests at least 80% of its total assets in the securities of the underlying index. The index is designed to provide exposure to exchange-listed companies that are positioned to benefit from the increased adoption of e-commerce as a distribution model, including but not limited to companies whose principal business is in operating e-commerce platforms, providing e-commerce software and services, and/or selling goods and services online. The fund is non-diversified.","EBIZ is designed as a play on the increasing importance of e-commerce within the retail industry. In addition to retailers themselves, the fund holds companies that operate online marketplace platforms or provide software or services to facilitate e-commerce, provided that they generate at least 50% of their revenues from such business operations. EBIZ can hold companies of any size, and though global in scope, limits emerging-market exposure to a few specific countries. To ensure diversification, the fund is weighted according to a modified capitalization weighting methodology where constituents are subject to caps. Reconstitution and re-weighting also occurs on a semi-annual basis.",,"The investment seeks to provide investment results that correspond generally to the price and yield performance, before fees and expenses, of the Solactive E-commerce Index. The fund invests at least 80% of its total assets in the securities of the underlying index. The index is designed to provide exposure to exchange-listed companies that are positioned to benefit from the increased adoption of e-commerce as a distribution model, including but not limited to companies whose principal business is in operating e-commerce platforms, providing e-commerce software and services, and/or selling goods and services online. The fund is non-diversified."
JCTR,JPMorgan Carbon Transition U.S. Equity ETF,"This investment vehicle seeks results closely corresponding to an index focused on large-cap U.S. companies identified as well-positioned for the transition to a lower carbon economy, while maintaining broad market exposure. Derived from the Russell 1000 universe, the underlying index employs a rules-based process that excludes companies involved in controversial weapons and ranks constituents using a carbon transition score evaluating their management of carbon emissions, resource efficiency, and climate-related risks. The fund invests at least 80% of its assets in these selected securities, typically weighting them by market capitalization subject to liquidity and trading constraints.",The fund will invest at least 80% of its assets in securities included in index. The index is designed to capture the performance of companies which have been identified through its rules-based process as better positioned to benefit from a transition to a lower carbon economy while also providing broader U.S. market exposure.,"JCTR targets large-cap companies in the US that are poised to adapt to a lower carbon economy over time, while maintaining a market-like portfolio. The fund draws its selection universe from the broad Russell 1000 Index, which represents the largest 1,000 companies in the US. An exclusionary screen is then applied to remove companies engaged in controversial weapons activity, as defined by the United Nations Convention on Certain Controversial Weapons. Remaining stocks are ranked using a carbon transition score, which reflects a company's efficiency in managing carbon emissions, resources (such as electricity, water and waste) and carbon-related risks. Stocks are weighted by market capitalization, subject to trading and liquidity constraints.",,"The investment seeks investment results that closely correspond, before fees and expenses, to the performance of the JPMorgan Asset Management Carbon Transition U.S. Equity Index. The fund will invest at least 80% of its assets in securities included in index. The index is designed to capture the performance of companies which have been identified through its rules-based process as better positioned to benefit from a transition to a lower carbon economy while also providing broader U.S. market exposure."
BKIV,BNY Mellon Innovators ETF,"This actively managed ETF seeks long-term capital growth by primarily investing in the equity securities of U.S. companies identified as innovation-driven, spanning various sectors. The core strategy focuses on identifying leading-edge businesses that offer ground-breaking, disruptive, or transformative products and services, often underpinned by significant intellectual property, R&D investment, or the application of complex new technologies and processes. Additionally, it may invest in enterprises positively impacted by adopting such innovations. Employing a growth-oriented approach that utilizes thematic insights and fundamental research, the fund managers have full discretion over investment decisions within this non-diversified portfolio.","To pursue its goal, the fund normally invests principally in equity securities of U.S. innovation-driven companies. The fund's sub-adviser considers innovation-driven companies to be (i) leading edge companies that, through their intellectual property, provide ground-breaking and/or innovative products and services that can be disruptive and transformative to existing business models and practices and (ii) business enterprises that are positively impacted by the transformation of their business models and practices through the use of such products or services. The fund is non-diversified.","BKIV invests in US stocks from across various sectors that are identified as leading-edge companies, providing innovative products or services. Companies should have new or significantly improved products or services that involve the application of technical and complex new technologies, materials, processes, or approaches that are transformative or disruptive to their industry. The adviser assesses numerous factors, which may include a companys R&D investments, intellectual property portfolio, product or service differentiation, industry recognition, market share or growth, and organizational culture. The fund also employs a growth-oriented approach that uses thematic insights and fundamental research. Thematic insights refer to overarching and recurring themes, trends, and shifts in the advisers research and analysis of global economic information. As an actively managed ETF, the fund managers have full discretion to make investment decisions at any time.",,"The investment seeks long-term capital growth. To pursue its goal, the fund normally invests principally in equity securities of U.S. innovation-driven companies. The fund's sub-adviser considers innovation-driven companies to be (i) leading edge companies that, through their intellectual property, provide ground-breaking and/or innovative products and services that can be disruptive and transformative to existing business models and practices and (ii) business enterprises that are positively impacted by the transformation of their business models and practices through the use of such products or services. The fund is non-diversified."
ARKQ,ARK Autonomous Technology & Robotics ETF,"This actively-managed exchange-traded fund seeks long-term capital growth by primarily investing (at least 80% of its assets) in global equity securities of companies focused on autonomous technology and robotics. Its core strategy centers on identifying businesses relevant to the theme of disruptive innovation, leveraging internal research to select firms poised to benefit from transformative developments, particularly in areas like automation, energy, and artificial intelligence. Rather than offering broad technology exposure, this non-diversified fund provides concentrated, thematic access to companies capitalizing on these specific, impactful technological advancements.","The fund is an actively-managed exchange-traded fund that will invest under normal circumstances primarily (at least 80% of its assets) in domestic and foreign equity securities of autonomous technology and robotics companies that are relevant to the fund's investment theme of disruptive innovation. Substantially all of the fund's assets will be invested in equity securities, including common stocks, partnership interests, business trust shares and other equity investments or ownership interests in business enterprises. The fund is non-diversified.","ARKQ, like many ETFs in the global technology segment, doesn't attempt to provide broad exposure to tech companies. Instead, the fund's active mandate is to identify companies that will benefit from new technologies and automation. Specifically, ARKQ's managers appear interested in specific technologies with transformative businesses in automation, energy, and artificial intelligence. Because of its thematic approach, pure-play portfolio implementation is more difficult. The fund uses its own internal research and analysis in selecting companies that capitalize on disruptive innovation that enable development in the markets they operate.",,"The investment seeks long-term growth of capital. The fund is an actively-managed exchange-traded fund that will invest under normal circumstances primarily (at least 80% of its assets) in domestic and foreign equity securities of autonomous technology and robotics companies that are relevant to the fund's investment theme of disruptive innovation. Substantially all of the fund's assets will be invested in equity securities, including common stocks, partnership interests, business trust shares and other equity investments or ownership interests in business enterprises. The fund is non-diversified."
IBAT,iShares Energy Storage & Materials ETF,"This ETF targets long-term growth by investing globally in companies central to the energy storage sector, including hydrogen, fuel cell, and battery technologies, thereby supporting the transition to a low-carbon economy. It tracks an index that selects constituent companies by rigorously assessing their revenue and patent exposure to these key energy storage themes, applying exclusionary ESG criteria afterward. The fund commits to investing at least 90% of its assets in the securities of its underlying index or similar investments. Comprising both U.S. and international firms structured into tiers based on thematic relevance, the portfolio undergoes annual reconstitution and quarterly rebalancing and is considered non-diversified.","The index measures the performance of equity securities of companies involved in energy storage solutions aiming to support the transition to a low carbon economy, including hydrogen, fuel cells, and batteries as determined by STOXX Ltd. The fund generally will invest at least 90% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The fund is non-diversified.","IBAT tracks a price-weighted index of companies involved in energy storage solutions around the globe. The fund seeks to provide long-term growth opportunities from companies involved in the transition to a low-carbon economy.

IBAT holds a portfolio of US and non-US companies related to energy storage solutions including hydrogen, fuel cells, and batteries. The index selects relevant companies by assessing revenue and patent exposure. For revenue exposure, the index uses granular data to break down revenue sources of eligible companies and identify those most exposed to the theme. For patent-based exposure, specialized metrics are used to screen for companies with high-quality patents and patent specialization linked to the theme. Companies are divided into tiers, depending on revenue and patent exposure. The index applies exclusionary ESG screens to filter out companies non-compliant with global standards, involved with controversial business activities, and have severe controversy ratings. The resulting portfolio is price-weighted with weighting factors based on market capitalization, subject to tier group, company, and concentration capping. The index reconstitutes annually and rebalances quarterly.",,"The investment seeks to track the investment results of STOXX Global Energy Storage and Materials Index. The index measures the performance of equity securities of companies involved in energy storage solutions aiming to support the transition to a low carbon economy, including hydrogen, fuel cells, and batteries as determined by STOXX Ltd. The fund generally will invest at least 90% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The fund is non-diversified."
