etf,etf_desc,query,index
PSJ,"The Invesco Dynamic Software ETF (IGPT) seeks to track an index comprising large- to small-cap companies from developed and emerging markets that derive at least 50% of their revenue from subsectors related to future software development. The fund generally invests at least 90% of its total assets in these index securities and is non-diversified. Companies are included based on their potential to benefit from long-term structural trends driven by technological and societal change. Index constituents are weighted proportionally to their free-float market capitalization multiplied by their aggregate revenue exposure to the applicable subsectors, with the index rebalanced quarterly and reviewed annually. Prior to August 28, 2023, the fund was known as the Invesco Dynamic Software ETF and traded under the ticker PSJ, tracking a different index.","Find large, mid, and small-cap software stocks with high revenue exposure to their core business.",specific
PSJ,"The Invesco Dynamic Software ETF (IGPT) seeks to track an index comprising large- to small-cap companies from developed and emerging markets that derive at least 50% of their revenue from subsectors related to future software development. The fund generally invests at least 90% of its total assets in these index securities and is non-diversified. Companies are included based on their potential to benefit from long-term structural trends driven by technological and societal change. Index constituents are weighted proportionally to their free-float market capitalization multiplied by their aggregate revenue exposure to the applicable subsectors, with the index rebalanced quarterly and reviewed annually. Prior to August 28, 2023, the fund was known as the Invesco Dynamic Software ETF and traded under the ticker PSJ, tracking a different index.",List software stocks from developed and emerging markets.,specific
SUSA,"The iShares MSCI USA ESG Select ETF (SUSA) aims to provide socially conscious exposure to US large- and midcap equities by tracking the MSCI USA Extended ESG Select Index. This optimized index selects companies with high environmental, social, and governance (ESG) ratings, excluding those involved in tobacco, civilian firearms, or with low ESG controversy scores. It is designed to maximize positive ESG characteristics while maintaining risk and return similar to the MSCI USA Index, weighting holdings by ESG scores with security weights capped at 5% and sector deviations limited to 3%. The fund typically invests at least 90% of its assets in the component securities of this index.",US stocks with top ESG scores,general
SUSA,"The iShares MSCI USA ESG Select ETF (SUSA) aims to provide socially conscious exposure to US large- and midcap equities by tracking the MSCI USA Extended ESG Select Index. This optimized index selects companies with high environmental, social, and governance (ESG) ratings, excluding those involved in tobacco, civilian firearms, or with low ESG controversy scores. It is designed to maximize positive ESG characteristics while maintaining risk and return similar to the MSCI USA Index, weighting holdings by ESG scores with security weights capped at 5% and sector deviations limited to 3%. The fund typically invests at least 90% of its assets in the component securities of this index.",Leading socially responsible US company stocks,general
SUSA,"The iShares MSCI USA ESG Select ETF (SUSA) aims to provide socially conscious exposure to US large- and midcap equities by tracking the MSCI USA Extended ESG Select Index. This optimized index selects companies with high environmental, social, and governance (ESG) ratings, excluding those involved in tobacco, civilian firearms, or with low ESG controversy scores. It is designed to maximize positive ESG characteristics while maintaining risk and return similar to the MSCI USA Index, weighting holdings by ESG scores with security weights capped at 5% and sector deviations limited to 3%. The fund typically invests at least 90% of its assets in the component securities of this index.",Find US large-cap and mid-cap stocks with high ESG ratings excluding tobacco and firearms,specific
SUSA,"The iShares MSCI USA ESG Select ETF (SUSA) aims to provide socially conscious exposure to US large- and midcap equities by tracking the MSCI USA Extended ESG Select Index. This optimized index selects companies with high environmental, social, and governance (ESG) ratings, excluding those involved in tobacco, civilian firearms, or with low ESG controversy scores. It is designed to maximize positive ESG characteristics while maintaining risk and return similar to the MSCI USA Index, weighting holdings by ESG scores with security weights capped at 5% and sector deviations limited to 3%. The fund typically invests at least 90% of its assets in the component securities of this index.",List US stocks with strong ESG ratings and low controversy scores,specific
CCON,"The Direxion Connected Consumer ETF (CCON) sought to track the Solactive Connected Consumer Index, comprising companies providing products and services that facilitate consumer connection in areas such as home entertainment, online education, remote health & well-being, and virtual/digital social interaction. The index utilized a proprietary natural language processing algorithm to select the top 10 ranked companies from each of these four industries, equally-weighted at semi-annual rebalancing. Under normal circumstances, the fund aimed to invest at least 80% of its net assets in index securities and was classified as non-diversified. However, the fund was subsequently delisted, with its last day of trading being September 17, 2021.",What are the leading companies in the connected consumer sector?,general
CCON,"The Direxion Connected Consumer ETF (CCON) sought to track the Solactive Connected Consumer Index, comprising companies providing products and services that facilitate consumer connection in areas such as home entertainment, online education, remote health & well-being, and virtual/digital social interaction. The index utilized a proprietary natural language processing algorithm to select the top 10 ranked companies from each of these four industries, equally-weighted at semi-annual rebalancing. Under normal circumstances, the fund aimed to invest at least 80% of its net assets in index securities and was classified as non-diversified. However, the fund was subsequently delisted, with its last day of trading being September 17, 2021.",Show me stocks that facilitate online consumer services and interaction.,general
CCON,"The Direxion Connected Consumer ETF (CCON) sought to track the Solactive Connected Consumer Index, comprising companies providing products and services that facilitate consumer connection in areas such as home entertainment, online education, remote health & well-being, and virtual/digital social interaction. The index utilized a proprietary natural language processing algorithm to select the top 10 ranked companies from each of these four industries, equally-weighted at semi-annual rebalancing. Under normal circumstances, the fund aimed to invest at least 80% of its net assets in index securities and was classified as non-diversified. However, the fund was subsequently delisted, with its last day of trading being September 17, 2021.","Search for stocks in the online education, remote health, and digital entertainment sectors.",specific
CCON,"The Direxion Connected Consumer ETF (CCON) sought to track the Solactive Connected Consumer Index, comprising companies providing products and services that facilitate consumer connection in areas such as home entertainment, online education, remote health & well-being, and virtual/digital social interaction. The index utilized a proprietary natural language processing algorithm to select the top 10 ranked companies from each of these four industries, equally-weighted at semi-annual rebalancing. Under normal circumstances, the fund aimed to invest at least 80% of its net assets in index securities and was classified as non-diversified. However, the fund was subsequently delisted, with its last day of trading being September 17, 2021.",List stocks primarily focused on virtual social interaction or remote health/well-being services.,specific
FEUS,"The FlexShares ESG & Climate US Large Cap Core Index Fund (FEUS) aims to provide broad, core exposure to U.S. large-cap equities by tracking the Northern Trust ESG & Climate U.S. Large Cap Core Index. This index selects companies from the largest U.S. equities universe based on specific environmental, social, and governance (ESG) characteristics, including ranking by ESG scores, evaluating carbon-related metrics like emissions intensity and reserves, and screening for negative environmental impacts. The fund seeks to replicate this index's performance by investing at least 80% of its assets in index securities and is classified as non-diversified.",List of top US large-cap stocks with strong ESG ratings,general
FEUS,"The FlexShares ESG & Climate US Large Cap Core Index Fund (FEUS) aims to provide broad, core exposure to U.S. large-cap equities by tracking the Northern Trust ESG & Climate U.S. Large Cap Core Index. This index selects companies from the largest U.S. equities universe based on specific environmental, social, and governance (ESG) characteristics, including ranking by ESG scores, evaluating carbon-related metrics like emissions intensity and reserves, and screening for negative environmental impacts. The fund seeks to replicate this index's performance by investing at least 80% of its assets in index securities and is classified as non-diversified.",Show me major US company stocks focused on climate initiatives,general
FEUS,"The FlexShares ESG & Climate US Large Cap Core Index Fund (FEUS) aims to provide broad, core exposure to U.S. large-cap equities by tracking the Northern Trust ESG & Climate U.S. Large Cap Core Index. This index selects companies from the largest U.S. equities universe based on specific environmental, social, and governance (ESG) characteristics, including ranking by ESG scores, evaluating carbon-related metrics like emissions intensity and reserves, and screening for negative environmental impacts. The fund seeks to replicate this index's performance by investing at least 80% of its assets in index securities and is classified as non-diversified.",Find US large-cap stocks with high overall ESG scores and low carbon emissions intensity,specific
FEUS,"The FlexShares ESG & Climate US Large Cap Core Index Fund (FEUS) aims to provide broad, core exposure to U.S. large-cap equities by tracking the Northern Trust ESG & Climate U.S. Large Cap Core Index. This index selects companies from the largest U.S. equities universe based on specific environmental, social, and governance (ESG) characteristics, including ranking by ESG scores, evaluating carbon-related metrics like emissions intensity and reserves, and screening for negative environmental impacts. The fund seeks to replicate this index's performance by investing at least 80% of its assets in index securities and is classified as non-diversified.",Screen US large-cap stocks for positive ESG profiles and minimal negative environmental impact,specific
MIDE,"The Xtrackers S&P MidCap 400 ESG ETF (MIDE) seeks investment results corresponding generally to the performance of the S&P MidCap 400 ESG Index. This index applies environmental, social, and governance (ESG) criteria to the S&P MidCap 400, selecting companies with high ESG scores within each GICS sector. It targets approximately 75% of the float-adjusted market capitalization within each sector while aiming to maintain similar sector weights as the parent index. The strategy involves screening out companies involved in tobacco, controversial weapons, and thermal coal, as well as those in the bottom 5% of the UN Global Compact ranking or the bottom 25% of ESG scores within their respective sectors. The index is market cap-weighted and rebalanced annually. The fund typically invests at least 80% of its assets in the component securities of the index.",List of US mid-cap stocks,general
MIDE,"The Xtrackers S&P MidCap 400 ESG ETF (MIDE) seeks investment results corresponding generally to the performance of the S&P MidCap 400 ESG Index. This index applies environmental, social, and governance (ESG) criteria to the S&P MidCap 400, selecting companies with high ESG scores within each GICS sector. It targets approximately 75% of the float-adjusted market capitalization within each sector while aiming to maintain similar sector weights as the parent index. The strategy involves screening out companies involved in tobacco, controversial weapons, and thermal coal, as well as those in the bottom 5% of the UN Global Compact ranking or the bottom 25% of ESG scores within their respective sectors. The index is market cap-weighted and rebalanced annually. The fund typically invests at least 80% of its assets in the component securities of the index.",What are some well-known US companies with market caps between $2 billion and $10 billion?,general
MIDE,"The Xtrackers S&P MidCap 400 ESG ETF (MIDE) seeks investment results corresponding generally to the performance of the S&P MidCap 400 ESG Index. This index applies environmental, social, and governance (ESG) criteria to the S&P MidCap 400, selecting companies with high ESG scores within each GICS sector. It targets approximately 75% of the float-adjusted market capitalization within each sector while aiming to maintain similar sector weights as the parent index. The strategy involves screening out companies involved in tobacco, controversial weapons, and thermal coal, as well as those in the bottom 5% of the UN Global Compact ranking or the bottom 25% of ESG scores within their respective sectors. The index is market cap-weighted and rebalanced annually. The fund typically invests at least 80% of its assets in the component securities of the index.",Find US mid-cap stocks with high ESG ratings,specific
MIDE,"The Xtrackers S&P MidCap 400 ESG ETF (MIDE) seeks investment results corresponding generally to the performance of the S&P MidCap 400 ESG Index. This index applies environmental, social, and governance (ESG) criteria to the S&P MidCap 400, selecting companies with high ESG scores within each GICS sector. It targets approximately 75% of the float-adjusted market capitalization within each sector while aiming to maintain similar sector weights as the parent index. The strategy involves screening out companies involved in tobacco, controversial weapons, and thermal coal, as well as those in the bottom 5% of the UN Global Compact ranking or the bottom 25% of ESG scores within their respective sectors. The index is market cap-weighted and rebalanced annually. The fund typically invests at least 80% of its assets in the component securities of the index.",Show me US companies with market caps between $2 billion and $10 billion that screen positively for ESG factors and exclude tobacco/controversial weapons,specific
ERX,"The Direxion Daily Energy Bull 2X Shares (ERX) seeks daily investment results equal to 200% of the daily performance of the Energy Select Sector Index. This market-cap-weighted index tracks U.S. energy companies from the S&P 500, focused on oil, gas, and energy equipment industries, resulting in concentrated exposure. The fund aims to achieve its 2x daily leveraged exposure by investing at least 80% of its net assets in financial instruments like swaps. ERX is a non-diversified fund designed for short-term trading, not long-term investing, as its daily rebalancing means compounding and path dependency can cause its performance over periods longer than a day to differ significantly from the underlying index.",What are the major US oil and gas companies?,general
ERX,"The Direxion Daily Energy Bull 2X Shares (ERX) seeks daily investment results equal to 200% of the daily performance of the Energy Select Sector Index. This market-cap-weighted index tracks U.S. energy companies from the S&P 500, focused on oil, gas, and energy equipment industries, resulting in concentrated exposure. The fund aims to achieve its 2x daily leveraged exposure by investing at least 80% of its net assets in financial instruments like swaps. ERX is a non-diversified fund designed for short-term trading, not long-term investing, as its daily rebalancing means compounding and path dependency can cause its performance over periods longer than a day to differ significantly from the underlying index.",List top energy stocks based in the United States.,general
ERX,"The Direxion Daily Energy Bull 2X Shares (ERX) seeks daily investment results equal to 200% of the daily performance of the Energy Select Sector Index. This market-cap-weighted index tracks U.S. energy companies from the S&P 500, focused on oil, gas, and energy equipment industries, resulting in concentrated exposure. The fund aims to achieve its 2x daily leveraged exposure by investing at least 80% of its net assets in financial instruments like swaps. ERX is a non-diversified fund designed for short-term trading, not long-term investing, as its daily rebalancing means compounding and path dependency can cause its performance over periods longer than a day to differ significantly from the underlying index.",Find S&P 500 stocks in the energy sector.,specific
ERX,"The Direxion Daily Energy Bull 2X Shares (ERX) seeks daily investment results equal to 200% of the daily performance of the Energy Select Sector Index. This market-cap-weighted index tracks U.S. energy companies from the S&P 500, focused on oil, gas, and energy equipment industries, resulting in concentrated exposure. The fund aims to achieve its 2x daily leveraged exposure by investing at least 80% of its net assets in financial instruments like swaps. ERX is a non-diversified fund designed for short-term trading, not long-term investing, as its daily rebalancing means compounding and path dependency can cause its performance over periods longer than a day to differ significantly from the underlying index.",Show me large-cap US energy equipment and services stocks.,specific
REZ,"The iShares Residential and Multisector Real Estate ETF (REZ) tracks the FTSE Nareit All Residential Capped Index. Despite its name indicating a residential focus, REZ functions as a multisector fund, investing in a broad spectrum of U.S. real estate equities and REITs. Its underlying index measures the performance of sectors including residential (covering apartments, manufactured homes, and single-family homes), healthcare, and self-storage real estate. The fund generally invests at least 80% of its assets in the component securities of the underlying index, with up to 20% potentially allocated to other assets like futures or cash equivalents. Classified as non-diversified, the fund's index includes real estate stocks and REITs across all market capitalizations and applies stock capping rules.",List of publicly traded US real estate companies,general
REZ,"The iShares Residential and Multisector Real Estate ETF (REZ) tracks the FTSE Nareit All Residential Capped Index. Despite its name indicating a residential focus, REZ functions as a multisector fund, investing in a broad spectrum of U.S. real estate equities and REITs. Its underlying index measures the performance of sectors including residential (covering apartments, manufactured homes, and single-family homes), healthcare, and self-storage real estate. The fund generally invests at least 80% of its assets in the component securities of the underlying index, with up to 20% potentially allocated to other assets like futures or cash equivalents. Classified as non-diversified, the fund's index includes real estate stocks and REITs across all market capitalizations and applies stock capping rules.",What are the major residential real estate stocks?,general
REZ,"The iShares Residential and Multisector Real Estate ETF (REZ) tracks the FTSE Nareit All Residential Capped Index. Despite its name indicating a residential focus, REZ functions as a multisector fund, investing in a broad spectrum of U.S. real estate equities and REITs. Its underlying index measures the performance of sectors including residential (covering apartments, manufactured homes, and single-family homes), healthcare, and self-storage real estate. The fund generally invests at least 80% of its assets in the component securities of the underlying index, with up to 20% potentially allocated to other assets like futures or cash equivalents. Classified as non-diversified, the fund's index includes real estate stocks and REITs across all market capitalizations and applies stock capping rules.",Show me US REITs specializing in self-storage and healthcare properties.,specific
REZ,"The iShares Residential and Multisector Real Estate ETF (REZ) tracks the FTSE Nareit All Residential Capped Index. Despite its name indicating a residential focus, REZ functions as a multisector fund, investing in a broad spectrum of U.S. real estate equities and REITs. Its underlying index measures the performance of sectors including residential (covering apartments, manufactured homes, and single-family homes), healthcare, and self-storage real estate. The fund generally invests at least 80% of its assets in the component securities of the underlying index, with up to 20% potentially allocated to other assets like futures or cash equivalents. Classified as non-diversified, the fund's index includes real estate stocks and REITs across all market capitalizations and applies stock capping rules.","Find US real estate stocks across all market caps in the residential, healthcare, and self-storage sectors.",specific
MORT,"The VanEck Mortgage REIT Income ETF (MORT) seeks to replicate the price and yield performance of the market-cap-weighted MVIS® US Mortgage REITs Index, normally investing at least 80% of its total assets in the index's securities. True to its name, the fund maintains a straightforward, non-diversified portfolio focused on mortgage REITs, which the index includes across small, medium, and large capitalization sizes, leading to heavy concentration in top holdings. While offering exposure to this segment with a lower expense ratio than a key competitor, MORT's weaker liquidity means access can be less perfect.",What are the leading publicly traded mortgage REITs?,general
MORT,"The VanEck Mortgage REIT Income ETF (MORT) seeks to replicate the price and yield performance of the market-cap-weighted MVIS® US Mortgage REITs Index, normally investing at least 80% of its total assets in the index's securities. True to its name, the fund maintains a straightforward, non-diversified portfolio focused on mortgage REITs, which the index includes across small, medium, and large capitalization sizes, leading to heavy concentration in top holdings. While offering exposure to this segment with a lower expense ratio than a key competitor, MORT's weaker liquidity means access can be less perfect.",Show me stocks in the US mortgage real estate sector.,general
MORT,"The VanEck Mortgage REIT Income ETF (MORT) seeks to replicate the price and yield performance of the market-cap-weighted MVIS® US Mortgage REITs Index, normally investing at least 80% of its total assets in the index's securities. True to its name, the fund maintains a straightforward, non-diversified portfolio focused on mortgage REITs, which the index includes across small, medium, and large capitalization sizes, leading to heavy concentration in top holdings. While offering exposure to this segment with a lower expense ratio than a key competitor, MORT's weaker liquidity means access can be less perfect.","Find US mortgage REIT stocks with small, medium, and large market caps.",specific
MORT,"The VanEck Mortgage REIT Income ETF (MORT) seeks to replicate the price and yield performance of the market-cap-weighted MVIS® US Mortgage REITs Index, normally investing at least 80% of its total assets in the index's securities. True to its name, the fund maintains a straightforward, non-diversified portfolio focused on mortgage REITs, which the index includes across small, medium, and large capitalization sizes, leading to heavy concentration in top holdings. While offering exposure to this segment with a lower expense ratio than a key competitor, MORT's weaker liquidity means access can be less perfect.",List US mortgage REIT stocks known for high dividend yields.,specific
NUMG,"The Nuveen ESG Mid-Cap Growth ETF (NUMG) seeks to track the TIAA ESG USA Mid-Cap Growth Index, investing at least 80% of its assets in the index components. This index comprises mid-capitalization equity securities listed on U.S. exchanges that exhibit growth characteristics while also meeting specific environmental, social, and governance (ESG) criteria. Companies are selected based on growth metrics such as forward and historical EPS and sales growth, alongside an ESG screening process that considers factors like climate impact, resource use, safety, and ethics, while excluding firms involved in weapons, gambling, alcohol, and tobacco. The portfolio employs a multifactor optimizer and is rebalanced quarterly.",What are top US mid-cap growth companies?,general
NUMG,"The Nuveen ESG Mid-Cap Growth ETF (NUMG) seeks to track the TIAA ESG USA Mid-Cap Growth Index, investing at least 80% of its assets in the index components. This index comprises mid-capitalization equity securities listed on U.S. exchanges that exhibit growth characteristics while also meeting specific environmental, social, and governance (ESG) criteria. Companies are selected based on growth metrics such as forward and historical EPS and sales growth, alongside an ESG screening process that considers factors like climate impact, resource use, safety, and ethics, while excluding firms involved in weapons, gambling, alcohol, and tobacco. The portfolio employs a multifactor optimizer and is rebalanced quarterly.",Show me leading US companies with strong growth potential.,general
NUMG,"The Nuveen ESG Mid-Cap Growth ETF (NUMG) seeks to track the TIAA ESG USA Mid-Cap Growth Index, investing at least 80% of its assets in the index components. This index comprises mid-capitalization equity securities listed on U.S. exchanges that exhibit growth characteristics while also meeting specific environmental, social, and governance (ESG) criteria. Companies are selected based on growth metrics such as forward and historical EPS and sales growth, alongside an ESG screening process that considers factors like climate impact, resource use, safety, and ethics, while excluding firms involved in weapons, gambling, alcohol, and tobacco. The portfolio employs a multifactor optimizer and is rebalanced quarterly.",Find US mid-cap stocks with strong growth metrics and high ESG ratings.,specific
NUMG,"The Nuveen ESG Mid-Cap Growth ETF (NUMG) seeks to track the TIAA ESG USA Mid-Cap Growth Index, investing at least 80% of its assets in the index components. This index comprises mid-capitalization equity securities listed on U.S. exchanges that exhibit growth characteristics while also meeting specific environmental, social, and governance (ESG) criteria. Companies are selected based on growth metrics such as forward and historical EPS and sales growth, alongside an ESG screening process that considers factors like climate impact, resource use, safety, and ethics, while excluding firms involved in weapons, gambling, alcohol, and tobacco. The portfolio employs a multifactor optimizer and is rebalanced quarterly.","List US mid-cap growth stocks excluding companies in alcohol, tobacco, gambling, or weapons.",specific
LRNZ,"The TrueShares Technology, AI and Deep Learning ETF (LRNZ) is an actively managed fund that seeks total return primarily by investing at least 80% of its net assets in global equities of technology, artificial intelligence, and deep learning companies. The fund focuses on firms deriving at least half their revenue or having a competitive advantage in these technologies. It is a concentrated portfolio, typically holding 20-30 stocks, mostly large-cap, but may also include small and medium-sized companies for potential capital appreciation and yield. LRNZ is non-diversified and limits industry exposure to 25%, with the advisor selecting companies based on individual value and growth prospects using differentiated strategies for secular growth, cyclical growth, and IPO positions.",What are the leading stocks in the artificial intelligence and deep learning sectors?,general
LRNZ,"The TrueShares Technology, AI and Deep Learning ETF (LRNZ) is an actively managed fund that seeks total return primarily by investing at least 80% of its net assets in global equities of technology, artificial intelligence, and deep learning companies. The fund focuses on firms deriving at least half their revenue or having a competitive advantage in these technologies. It is a concentrated portfolio, typically holding 20-30 stocks, mostly large-cap, but may also include small and medium-sized companies for potential capital appreciation and yield. LRNZ is non-diversified and limits industry exposure to 25%, with the advisor selecting companies based on individual value and growth prospects using differentiated strategies for secular growth, cyclical growth, and IPO positions.",Show me promising technology stocks focused on AI innovation globally.,general
LRNZ,"The TrueShares Technology, AI and Deep Learning ETF (LRNZ) is an actively managed fund that seeks total return primarily by investing at least 80% of its net assets in global equities of technology, artificial intelligence, and deep learning companies. The fund focuses on firms deriving at least half their revenue or having a competitive advantage in these technologies. It is a concentrated portfolio, typically holding 20-30 stocks, mostly large-cap, but may also include small and medium-sized companies for potential capital appreciation and yield. LRNZ is non-diversified and limits industry exposure to 25%, with the advisor selecting companies based on individual value and growth prospects using differentiated strategies for secular growth, cyclical growth, and IPO positions.",Find global large-cap stocks with significant revenue or competitive advantage in artificial intelligence.,specific
LRNZ,"The TrueShares Technology, AI and Deep Learning ETF (LRNZ) is an actively managed fund that seeks total return primarily by investing at least 80% of its net assets in global equities of technology, artificial intelligence, and deep learning companies. The fund focuses on firms deriving at least half their revenue or having a competitive advantage in these technologies. It is a concentrated portfolio, typically holding 20-30 stocks, mostly large-cap, but may also include small and medium-sized companies for potential capital appreciation and yield. LRNZ is non-diversified and limits industry exposure to 25%, with the advisor selecting companies based on individual value and growth prospects using differentiated strategies for secular growth, cyclical growth, and IPO positions.","List global technology stocks, primarily large-cap, that specialize in deep learning technologies.",specific
IBLC,"The iShares Blockchain and Tech ETF tracks the NYSE FactSet Global Blockchain Technologies Index, composed of global companies involved in the development, innovation, and utilization of blockchain and crypto technologies. The index specifically selects companies, requiring at least 50% of revenue from the theme, categorizing them into Tier 1 (mining, trading, systems, blockchain technology) and Tier 2 (GPU chips for mining). With a minimum of 35 constituents, holdings are weighted by float-adjusted market-cap, ensuring Tier 1 securities have a minimum 75% aggregate weight and applying individual caps of 12% for Tier 1 and 4% for Tier 2. The fund generally invests at least 80% of its assets in the index's components or economically similar investments and may hold up to 20% in other instruments, operating as a non-diversified fund.",List companies involved in blockchain technology and crypto.,general
IBLC,"The iShares Blockchain and Tech ETF tracks the NYSE FactSet Global Blockchain Technologies Index, composed of global companies involved in the development, innovation, and utilization of blockchain and crypto technologies. The index specifically selects companies, requiring at least 50% of revenue from the theme, categorizing them into Tier 1 (mining, trading, systems, blockchain technology) and Tier 2 (GPU chips for mining). With a minimum of 35 constituents, holdings are weighted by float-adjusted market-cap, ensuring Tier 1 securities have a minimum 75% aggregate weight and applying individual caps of 12% for Tier 1 and 4% for Tier 2. The fund generally invests at least 80% of its assets in the index's components or economically similar investments and may hold up to 20% in other instruments, operating as a non-diversified fund.",Show me stocks in the cryptocurrency and blockchain sector.,general
IBLC,"The iShares Blockchain and Tech ETF tracks the NYSE FactSet Global Blockchain Technologies Index, composed of global companies involved in the development, innovation, and utilization of blockchain and crypto technologies. The index specifically selects companies, requiring at least 50% of revenue from the theme, categorizing them into Tier 1 (mining, trading, systems, blockchain technology) and Tier 2 (GPU chips for mining). With a minimum of 35 constituents, holdings are weighted by float-adjusted market-cap, ensuring Tier 1 securities have a minimum 75% aggregate weight and applying individual caps of 12% for Tier 1 and 4% for Tier 2. The fund generally invests at least 80% of its assets in the index's components or economically similar investments and may hold up to 20% in other instruments, operating as a non-diversified fund.",Find global stocks with significant revenue from blockchain or crypto activities.,specific
IBLC,"The iShares Blockchain and Tech ETF tracks the NYSE FactSet Global Blockchain Technologies Index, composed of global companies involved in the development, innovation, and utilization of blockchain and crypto technologies. The index specifically selects companies, requiring at least 50% of revenue from the theme, categorizing them into Tier 1 (mining, trading, systems, blockchain technology) and Tier 2 (GPU chips for mining). With a minimum of 35 constituents, holdings are weighted by float-adjusted market-cap, ensuring Tier 1 securities have a minimum 75% aggregate weight and applying individual caps of 12% for Tier 1 and 4% for Tier 2. The fund generally invests at least 80% of its assets in the index's components or economically similar investments and may hold up to 20% in other instruments, operating as a non-diversified fund.","List companies focused on crypto mining, trading, or blockchain systems.",specific
WEBL,"The Direxion Daily Dow Jones Internet Bull 3X Shares (WEBL) is a passively managed ETF seeking daily investment results, before fees and expenses, of 300% of the daily performance of the Dow Jones Internet Composite Index. The fund provides 3x leveraged daily exposure to this index, which is composed of the largest and most liquid U.S. internet companies deriving a majority of their revenue from online retail, social media, advertising, cloud computing, and similar internet activities. Under normal circumstances, WEBL invests at least 80% of its net assets in financial instruments, such as swap agreements, index securities, or index-tracking ETFs, to achieve its leveraged investment objective. It is a non-diversified fund, and due to daily rebalancing and the effects of compounding, its performance over periods longer than a single day will likely differ significantly from 300% of the index return over the same period.",What are the leading US internet companies?,general
WEBL,"The Direxion Daily Dow Jones Internet Bull 3X Shares (WEBL) is a passively managed ETF seeking daily investment results, before fees and expenses, of 300% of the daily performance of the Dow Jones Internet Composite Index. The fund provides 3x leveraged daily exposure to this index, which is composed of the largest and most liquid U.S. internet companies deriving a majority of their revenue from online retail, social media, advertising, cloud computing, and similar internet activities. Under normal circumstances, WEBL invests at least 80% of its net assets in financial instruments, such as swap agreements, index securities, or index-tracking ETFs, to achieve its leveraged investment objective. It is a non-diversified fund, and due to daily rebalancing and the effects of compounding, its performance over periods longer than a single day will likely differ significantly from 300% of the index return over the same period.","List stocks in the online retail, social media, and cloud sectors.",general
WEBL,"The Direxion Daily Dow Jones Internet Bull 3X Shares (WEBL) is a passively managed ETF seeking daily investment results, before fees and expenses, of 300% of the daily performance of the Dow Jones Internet Composite Index. The fund provides 3x leveraged daily exposure to this index, which is composed of the largest and most liquid U.S. internet companies deriving a majority of their revenue from online retail, social media, advertising, cloud computing, and similar internet activities. Under normal circumstances, WEBL invests at least 80% of its net assets in financial instruments, such as swap agreements, index securities, or index-tracking ETFs, to achieve its leveraged investment objective. It is a non-diversified fund, and due to daily rebalancing and the effects of compounding, its performance over periods longer than a single day will likely differ significantly from 300% of the index return over the same period.",Find large cap US stocks focused on internet services.,specific
WEBL,"The Direxion Daily Dow Jones Internet Bull 3X Shares (WEBL) is a passively managed ETF seeking daily investment results, before fees and expenses, of 300% of the daily performance of the Dow Jones Internet Composite Index. The fund provides 3x leveraged daily exposure to this index, which is composed of the largest and most liquid U.S. internet companies deriving a majority of their revenue from online retail, social media, advertising, cloud computing, and similar internet activities. Under normal circumstances, WEBL invests at least 80% of its net assets in financial instruments, such as swap agreements, index securities, or index-tracking ETFs, to achieve its leveraged investment objective. It is a non-diversified fund, and due to daily rebalancing and the effects of compounding, its performance over periods longer than a single day will likely differ significantly from 300% of the index return over the same period.","Show me highly liquid US stocks in social media, advertising, or e-commerce.",specific
SROI,"The Calamos Antetokounmpo Global Sustainable Equities ETF is an actively managed fund seeking long-term capital appreciation by investing in equity securities of companies globally across developed (including the U.S.) and emerging (including frontier) markets. Under normal circumstances, the fund invests at least 80% of its net assets in such securities, focusing on companies the investment team believes have above average growth potential and meet sustainable investment criteria. Stock selection is based on fundamental research and a proprietary ESG rating system that employs a three-pronged process, including exclusionary screens, materiality assessments, and environmental/social impact scoring, while considering governance, human development, and ecological impact. The fund seeks responsible companies with attractive financial attributes and aims to maintain at least 40% exposure to emerging markets.",Global stocks with strong ESG ratings and growth potential,general
SROI,"The Calamos Antetokounmpo Global Sustainable Equities ETF is an actively managed fund seeking long-term capital appreciation by investing in equity securities of companies globally across developed (including the U.S.) and emerging (including frontier) markets. Under normal circumstances, the fund invests at least 80% of its net assets in such securities, focusing on companies the investment team believes have above average growth potential and meet sustainable investment criteria. Stock selection is based on fundamental research and a proprietary ESG rating system that employs a three-pronged process, including exclusionary screens, materiality assessments, and environmental/social impact scoring, while considering governance, human development, and ecological impact. The fund seeks responsible companies with attractive financial attributes and aims to maintain at least 40% exposure to emerging markets.",Emerging market growth stocks focusing on sustainability,general
SROI,"The Calamos Antetokounmpo Global Sustainable Equities ETF is an actively managed fund seeking long-term capital appreciation by investing in equity securities of companies globally across developed (including the U.S.) and emerging (including frontier) markets. Under normal circumstances, the fund invests at least 80% of its net assets in such securities, focusing on companies the investment team believes have above average growth potential and meet sustainable investment criteria. Stock selection is based on fundamental research and a proprietary ESG rating system that employs a three-pronged process, including exclusionary screens, materiality assessments, and environmental/social impact scoring, while considering governance, human development, and ecological impact. The fund seeks responsible companies with attractive financial attributes and aims to maintain at least 40% exposure to emerging markets.",Find global equities with top sustainability scores and above-average growth prospects,specific
